group,F0_brightness_mean,G0_brightness_mean,delta_brightness_mean,F0_luminance_mean,G0_luminance_mean,delta_luminance_mean,F0_warmth_mean,G0_warmth_mean,delta_warmth_mean,F0_saturation_proxy_median_approx,G0_saturation_proxy_median_approx,delta_saturation_proxy_median_approx,F0_intensity_mean,G0_intensity_mean,delta_intensity_mean
road_tp,0.3931217275436761,0.3934313996213277,0.00030967207765164595,0.39130795784208156,0.39163062287439043,0.00032266503230887755,-0.018416970001507105,-0.018399802813995725,1.716718751137991e-05,0.03445073962211609,0.03414511680603022,-0.00030562281608587094,27.92888567734479,27.94956867076949,0.020682993424699703
road_to_marking,0.4293238405717141,0.42412166636057774,-0.0052021742111363345,0.4345036513491438,0.4303848992087263,-0.004118752140417514,0.027707471390942096,0.03675071117397072,0.009043239783028623,0.03705134987831116,0.04381519556045532,0.006763845682144165,30.82788509644292,32.34759836706153,1.5197132706186096
marking_tp,0.38408714816479383,0.388015585888488,0.003928437723694167,0.3881625253612445,0.3922945270852768,0.004132001724032275,0.02273716370660711,0.024329361198589694,0.0015921974919825832,0.06261599063873297,0.061442852020263616,-0.0011731386184693493,38.9279861388556,39.27495482727226,0.3469686884166592
marking_to_road,0.30661716419795604,0.30780966511649527,0.00119250091853923,0.3053061763685982,0.3068872071869886,0.0015810308183903943,-0.013504637975466804,-0.011651575685770021,0.001853062289696783,0.054784551262855585,0.0546135008335113,-0.00017105042934428827,24.007499063714377,25.870471102905785,1.8629720391914084
other_to_marking,0.30898818306605647,0.28082775432035195,-0.028160428745704513,0.30844740182841074,0.28227389587053675,-0.026173505957873988,0.0029259999908783363,0.016184005214483932,0.013258005223605596,0.032519012689590454,0.015522703528404291,-0.016996309161186163,23.77806873177915,30.06352025040081,6.2854515186216595
