model,group,red_mean,green_mean,blue_mean,intensity_mean,brightness_mean
G2,road_tp,0.3990753056793526,0.4045060946794347,0.4079354425861683,25.370975670457703,0.40383894764831857
G2,road_to_marking,0.3877491305650637,0.3934029821338781,0.3865056732546806,31.057995088565207,0.38921926198454077
G2,marking_tp,0.4377675617506256,0.4429991139543469,0.4328077227431076,37.25315736410188,0.4378581328160267
H0,road_tp,0.3984980781427756,0.4039255693284747,0.4072762470318056,25.33973384522813,0.40323329816768533
H0,road_to_marking,0.3939322473006173,0.3988578019397574,0.3897628198827485,31.174876859955464,0.39418428970770775
H0,marking_tp,0.4418040873663736,0.4468496760536177,0.4362124188471672,37.63164851698515,0.4416220607557195
