bucket,marking_iou_D0,marking_iou_G2,d_iou_G2_minus_D0
0_10m,0.5141162303197895,0.5882651595962911,0.0741
10_20m,0.4349989132272321,0.5241693424644873,0.0892
20_30m,0.4012435514743198,0.5133342994628852,0.1121
30_40m,0.4360183405848339,0.5371017708678549,0.1011
40_60m,0.3418794662295418,0.4376453612553517,0.0958
60m_plus,0.1783759452646741,0.3462653358612369,0.1679
