seq_id,marking_iou_D0,marking_precision_D0,marking_recall_D0,true_marking_D0,marking_iou_G2,marking_precision_G2,marking_recall_G2,true_marking_G2,seq_num,seq,d_iou_G2_minus_D0
001,0.1849085238163282,0.2305530212969874,0.4829325732081614,155413,0.3023559163148295,0.4098776499330128,0.5354442678540405,155413,1,001,0.1174
002,0.3162758569876033,0.4762489876072027,0.4849531577891945,354061,0.3575535241760885,0.7068634258158403,0.4198005428443121,354061,2,002,0.0413
015,0.4279042337796224,0.483623841966885,0.7878675987921754,365616,0.560223389348683,0.6806369673261531,0.7599995623823903,365616,15,015,0.1323
065,0.4554126846621018,0.5115381430279441,0.8058523161596086,490575,0.5305137304839793,0.7281463216536572,0.6615441064057483,490575,65,065,0.0751
090,0.4472584135464358,0.5039139934308576,0.7991188719725565,261483,0.5797575692608881,0.6884400227782802,0.7859784383688423,261483,90,090,0.1325
101,0.4756246853951892,0.55169013612462,0.7752620711366042,403421,0.5675799757963348,0.7515177207393839,0.6987018524072867,403421,101,101,0.092
102,0.4759253705711525,0.5183669367221481,0.8532172906107407,217621,0.577825928686578,0.7017874060506537,0.7658773739666668,217621,102,102,0.1019
103,0.2998959296947271,0.3023126597918917,0.9740357290401732,79879,0.4735042842267692,0.4869186609043411,0.9450168379674256,79879,103,103,0.1736
117,0.5587860544596551,0.6346771580652627,0.8237303611977717,249697,0.6482041283876706,0.7822492800925284,0.7909145884812393,249697,117,117,0.0894
