bias,marking_iou,marking_precision,marking_recall,marking_f1,pred_true,road_to_marking,marking_to_road,rgb_valid_pred_true,rgb_invalid_pred_true,rgb_valid_iou,rgb_invalid_iou,pred_true_0_10m,pred_true_10_20m,pred_true_20_30m,pred_true_30_40m,pred_true_40_60m,pred_true_60m_plus
-0.5,0.522109422816811,0.6835375236334028,0.6885488184420012,0.6860340196181125,1.007331411422683,359156,347011,1.0603061094388364,0.8154177360597333,0.5299985509537359,0.4905109729756468,1.0333001015587877,1.0678367520866077,1.0008774691115134,0.7969513097528489,0.6248224024932398,0.5054421768707483
-0.4,0.5234682290956988,0.6739792951806827,0.7009621717242805,0.68720596740822,1.0400351713124425,381630,332973,1.0929204570022117,0.8484454137597249,0.5301868332378187,0.4965157077681995,1.0641870172463592,1.1024576116794451,1.0301880853073109,0.8246718502749286,0.6576149227737293,0.5623906705539359
-0.3,0.5244086292714543,0.6642413164184295,0.7135553783088229,0.688015823581476,1.0742411841471913,405472,318731,1.1269173415819904,0.8834090443542071,0.5300091238838396,0.5019169605365568,1.0957261453315568,1.1382981679846595,1.0611277248760527,0.853804032285607,0.6962280581144874,0.6268221574344023
-0.2,0.5246216590764163,0.6539396447657994,0.7262467656815571,0.6881991423291481,1.110571551204322,431498,304384,1.1628688474608218,0.9211119277994,0.5291791888303085,0.5063111351855234,1.1280106590140413,1.176632154910746,1.0938695207366018,0.8844730820459694,0.7359640680141162,0.7017492711370262
-0.1,0.5241952183966986,0.6432971195357857,0.738992022159317,0.6878321255306123,1.1487569269587068,459434,289989,1.200454563092803,0.9614697175999004,0.5277600947723562,0.5098766691710028,1.1613759818125915,1.216215173027102,1.1291099394034785,0.9192632142165958,0.7784270589852881,0.7858114674441206
0.0,0.5229798700231134,0.6321396190547163,0.7517720328983838,0.6867850065742188,1.1892499856638672,489746,275549,1.2404572239499316,1.003739361296205,0.5255951387845602,0.5124772238745335,1.1963811529251727,1.2578855708335006,1.1669945699220903,0.9554763720813743,0.826619001787433,0.8777453838678329
0.1,0.5209536755554951,0.620297949220952,0.7648604877065489,0.6850355588446546,1.2330533877585066,523202,260796,1.284054259311614,1.0482903768681744,0.5227259120410783,0.5138361157947232,1.2348523670651375,1.3022254061281269,1.2091052175966004,0.9942851288122858,0.8791420321737935,0.9908649173955296
0.2,0.5177839538257225,0.6074737511132756,0.7781218449647157,0.6822894029424906,1.2809143498607223,560851,245866,1.3316880366754809,1.096974370714897,0.5186160533764659,0.5144412762044549,1.2744323422810662,1.3505115006592538,1.255599275989612,1.0385013831809746,0.9371419405105642,1.1202137998056365
0.3,0.5130655654443835,0.5931376792961922,0.7916907774354484,0.678180215268725,1.3347504383381208,604522,230573,1.3852211560315533,1.1519080382210118,0.513078643467008,0.5130130525887728,1.317506312484277,1.4044946595811036,1.3084362949555364,1.088238977242973,1.0071268160777305,1.2682215743440233
0.4,0.5068380183436503,0.5773588264992632,0.8058070895217639,0.6727173221986764,1.395678133835185,655319,214640,1.446398696180007,1.2119306109497816,0.5060054136767,0.5101833189365582,1.365760712588631,1.4647816434100867,1.36889116235146,1.1466399517309684,1.0912049131490902,1.436734693877551
0.5,0.4983801979195667,0.5590265332845985,0.8212362438289464,0.6652252860943373,1.4690469860235738,718467,197204,1.5207973701862045,1.2815686841545066,0.4965785659465287,0.5056350422230587,1.4237051254577133,1.5367190467221037,1.4435507987723302,1.2178481574663311,1.1910949172739356,1.6351797862001944
