seed,hybrid_cost,pwa_cost,improvement_pct,elapsed_seconds,peak_memory_mb,peak_cpu_pct,n_ants,n_iters,error
42,649.4542716946689,728.5334647525947,10.854572491708469,2.412,257.19,583.0,20,80,
43,650.1425367272196,728.5334647525947,10.760099819436038,2.371,257.38,615.0,20,80,
44,648.0678544267688,728.5334647525947,11.044874974020786,2.36,256.99,501.1,20,80,
45,648.8896080567007,728.5334647525947,10.932079382645865,2.359,256.79,621.0,20,80,
46,649.7938036221939,728.5334647525947,10.807967641835134,2.471,2786.46,545.0,20,80,
47,650.1425367272197,728.5334647525947,10.760099819436022,2.402,257.8,618.9,20,80,
48,650.1425367272199,728.5334647525947,10.760099819436006,2.407,247.39,519.1,20,80,
49,648.8896080567005,728.5334647525947,10.932079382645897,2.431,257.01,638.9,20,80,
50,651.7349327879908,728.5334647525947,10.541524264871503,2.414,256.66,615.0,20,80,
51,650.4224576899926,728.5334647525947,10.72167729304351,2.49,248.19,480.6,20,80,
52,650.4224576899927,728.5334647525947,10.721677293043493,2.466,2745.39,575.6,20,80,
53,650.1425367272201,728.5334647525947,10.760099819435975,2.4,257.41,617.0,20,80,
54,650.1425367272195,728.5334647525947,10.760099819436054,2.4,256.89,618.9,20,80,
55,651.186291453686,728.5334647525947,10.616831901493411,2.336,257.46,511.2,20,80,
56,649.5089498617403,728.5334647525947,10.847067254170755,2.401,257.12,640.9,20,80,
57,650.4224576899924,728.5334647525947,10.721677293043541,2.666,258.11,660.9,20,80,
58,651.7786891382716,728.5334647525947,10.535518178343189,2.425,247.13,620.5,20,80,
59,650.1425367272196,728.5334647525947,10.760099819436038,2.44,246.89,642.9,20,80,
60,650.4224576899928,728.5334647525947,10.721677293043479,2.345,257.74,425.3,20,80,
61,650.1425367272195,728.5334647525947,10.760099819436054,2.397,256.5,607.0,20,80,
62,650.1425367272195,728.5334647525947,10.760099819436054,2.39,256.67,623.0,20,80,
63,652.0836658930166,728.5334647525947,10.493656442472407,2.426,257.39,616.9,20,80,
64,649.7444920966516,728.5334647525947,10.814736243131856,2.353,257.44,443.3,20,80,
65,649.4242099067699,728.5334647525947,10.858698834471497,2.349,256.77,517.1,20,80,
66,650.3714129659562,728.5334647525947,10.728683796726044,2.436,257.0,608.3,20,80,
67,650.4224576899927,728.5334647525947,10.721677293043493,2.381,257.07,611.0,20,80,
68,651.6862015143168,728.5334647525947,10.548213219604767,2.441,246.79,587.0,20,80,
69,651.1610513782086,728.5334647525947,10.620296406104176,2.373,257.77,519.1,20,80,
70,650.4224576899929,728.5334647525947,10.721677293043463,2.463,257.37,599.3,20,80,
71,649.4645711338786,728.5334647525947,10.853158769524383,2.566,256.69,575.1,20,80,
