PWA-ACO Hybrid  —  run summary
========================================
Dataset   : pr76
Cities    : 76
Elapsed   : 1.4s

PWA best  : 1412.328903
Hybrid    : 1180.082438
Improvement: +16.444%

ACO convergence history (best per iteration):
  iter    1: 1257.703431
  iter    2: 1242.411909
  iter    3: 1240.641964
  iter    4: 1215.875897
  iter    5: 1215.875897
  iter    6: 1215.875897
  iter    7: 1215.875897
  iter    8: 1215.875897
  iter    9: 1213.750761
  iter   10: 1213.750761
  iter   11: 1213.750761
  iter   12: 1213.750761
  iter   13: 1213.750761
  iter   14: 1213.750761
  iter   15: 1213.750761
  iter   16: 1212.357101
  iter   17: 1212.357101
  iter   18: 1199.564837
  iter   19: 1199.564837
  iter   20: 1191.376995
  iter   21: 1191.376995
  iter   22: 1191.376995
  iter   23: 1191.376995
  iter   24: 1191.376995
  iter   25: 1191.376995
  iter   26: 1191.376995
  iter   27: 1191.376995
  iter   28: 1191.376995
  iter   29: 1191.376995
  iter   30: 1191.376995
  iter   31: 1191.376995
  iter   32: 1191.376995
  iter   33: 1191.376995
  iter   34: 1191.376995
  iter   35: 1191.376995
  iter   36: 1191.376995
  iter   37: 1191.376995
  iter   38: 1191.376995
  iter   39: 1191.376995
  iter   40: 1191.376995
  iter   41: 1191.376995
  iter   42: 1191.376995
  iter   43: 1191.376995
  iter   44: 1191.376995
  iter   45: 1191.376995
  iter   46: 1191.376995
  iter   47: 1191.376995
  iter   48: 1191.376995
  iter   49: 1191.376995
  iter   50: 1191.376995
  iter   51: 1191.376995
  iter   52: 1191.376995
  iter   53: 1191.376995
  iter   54: 1191.376995
  iter   55: 1191.376995
  iter   56: 1191.376995
  iter   57: 1191.376995
  iter   58: 1191.376995
  iter   59: 1191.376995
  iter   60: 1191.376995
  iter   61: 1191.376995
  iter   62: 1191.376995
  iter   63: 1191.376995
  iter   64: 1191.376995
  iter   65: 1191.376995
  iter   66: 1191.376995
  iter   67: 1191.376995
  iter   68: 1191.376995
  iter   69: 1191.376995
  iter   70: 1191.376995
  iter   71: 1191.376995
  iter   72: 1191.376995
  iter   73: 1191.376995
  iter   74: 1191.376995
  iter   75: 1191.376995
  iter   76: 1191.376995
  iter   77: 1191.376995
  iter   78: 1191.376995
  iter   79: 1191.376995
  iter   80: 1191.376995

Best tour:
70 -> 71 -> 72 -> 63 -> 62 -> 61 -> 60 -> 59 -> 40 -> 39 -> 33 -> 34 -> 32 -> 31 -> 30 -> 18 -> 19 -> 29 -> 28 -> 25 -> 26 -> 27 -> 42 -> 41 -> 53 -> 52 -> 51 -> 48 -> 49 -> 66 -> 67 -> 69 -> 68 -> 46 -> 47 -> 43 -> 44 -> 45 -> 23 -> 24 -> 20 -> 21 -> 22 -> 0 -> 75 -> 74 -> 1 -> 3 -> 2 -> 7 -> 6 -> 5 -> 4 -> 9 -> 8 -> 10 -> 11 -> 12 -> 13 -> 73 -> 14 -> 15 -> 16 -> 17 -> 36 -> 35 -> 37 -> 38 -> 58 -> 57 -> 56 -> 54 -> 55 -> 50 -> 65 -> 64
