seed,hybrid_cost,pwa_cost,improvement_pct,elapsed_seconds,peak_memory_mb,peak_cpu_pct,n_ants,n_iters,error
42,631.117295142917,715.6521926929196,11.812287926053463,3.272,2801.16,654.8,20,80,
43,628.8104345540062,715.6521926929196,12.134631742290559,3.036,260.47,477.2,20,80,
44,641.0048499068071,715.6521926929196,10.430673384122931,3.038,260.04,613.0,20,80,
45,628.6882530106851,715.6521926929196,12.151704496984609,3.25,2804.62,611.0,20,80,
46,635.3190508243079,715.6521926929196,11.225165337134936,2.981,260.26,577.1,20,80,
47,636.0965554812403,715.6521926929196,11.116522526441265,2.983,261.15,621.0,20,80,
48,632.9632052975179,715.6521926929196,11.554353950101406,2.999,260.22,627.0,20,80,
49,630.0192518091355,715.6521926929196,11.965720465629653,3.028,1512.46,617.0,20,80,
50,634.2198918088975,715.6521926929196,11.378753773896982,3.11,270.38,603.0,20,80,
51,627.4806601226719,715.6521926929196,12.320444689545072,2.991,260.72,606.9,20,80,
52,633.8142031430632,715.6521926929196,11.435441739081261,3.067,260.78,622.9,20,80,
53,631.4641079563252,715.6521926929196,11.763826841611987,2.981,270.83,527.1,20,80,
54,639.8753098932061,715.6521926929196,10.588507039232772,2.989,260.76,491.2,20,80,
55,635.9859759945955,715.6521926929196,11.131974094643514,3.12,2812.23,632.9,20,80,
56,634.7422683183602,715.6521926929196,11.305760703408783,3.019,259.9,540.8,20,80,
57,630.2849635198502,715.6521926929196,11.928591855750769,3.214,269.81,597.0,20,80,
58,630.7534806152047,715.6521926929196,11.863124705626973,3.063,259.91,615.0,20,80,
59,631.3071466066407,715.6521926929196,11.785759471915803,3.229,2802.34,642.8,20,80,
60,631.185663071866,715.6521926929196,11.80273469200387,3.059,2807.21,539.1,20,80,
61,626.9373939959833,715.6521926929196,12.396356722266498,3.152,270.9,626.9,20,80,
62,627.4167564339144,715.6521926929196,12.329374123341259,3.147,261.14,573.0,20,80,
63,637.1883122840577,715.6521926929196,10.963968420694838,3.047,2799.79,487.2,20,80,
64,630.417347146617,715.6521926929196,11.910093536578623,2.981,260.91,571.0,20,80,
65,626.0736821991792,715.6521926929196,12.517045487790154,3.013,261.01,615.0,20,80,
66,632.4511775527915,715.6521926929196,11.62590095994144,2.948,270.45,497.2,20,80,
67,629.4071225607947,715.6521926929196,12.05125492700501,2.98,260.25,628.0,20,80,
68,635.8980713958166,715.6521926929196,11.144257239958575,2.978,269.52,619.0,20,80,
69,632.1341537269954,715.6521926929196,11.670199549260813,3.173,2756.45,503.2,20,80,
70,629.7174031379323,715.6521926929196,12.007898589903606,3.034,260.76,594.5,20,80,
71,626.9953967946619,715.6521926929196,12.38825183566503,2.947,270.17,602.9,20,80,
