label,count,mean,median,std,min,max,p5,p25,p50,p75,p95,iqr,non_integer_count,out_of_range_count
ignore,450789,11.460224184707258,5.0,15.503093964819165,0.0,255.0,0.0,1.0,5.0,20.0,36.0,19.0,0,0
lane,2890855,37.77261986505722,33.0,19.85569223926197,0.0,255.0,4.0,28.0,33.0,47.0,75.0,19.0,0,0
other,176399000,18.94945467377933,17.0,20.03507877750632,0.0,255.0,0.0,5.0,17.0,28.0,43.0,23.0,0,0
road,127041643,26.363733134339267,28.0,9.261880723417848,0.0,255.0,4.0,25.0,28.0,31.0,38.0,6.0,0,0
