bucket,active_points,true_marking,predicted_marking,marking_tp,marking_fp,marking_fn,marking_iou,marking_precision,marking_recall,marking_f1,predicted_true_marking_ratio,road_to_marking,marking_to_road,other_to_marking
0_10m,5094729,107327,130938,93905,37033,13422,0.6504918259905791,0.7171714857413433,0.8749429314152077,0.7882399848907728,1.2199912417192318,35931,13249,1102
10_20m,30802354,647702,798659,509180,289479,138522,0.5433102036853074,0.6375436825979548,0.786133129124196,0.7040842500592868,1.2330655146965734,285208,137742,4271
20_30m,18608666,254140,290734,189067,101667,65073,0.5313751556321265,0.6503092173601986,0.7439482175179035,0.6939842972870792,1.1439915007476193,98457,64176,3210
30_40m,7891141,87841,81115,56184,24931,31657,0.4982087752278935,0.6926462429883499,0.6396102048018579,0.6650725632709108,0.9234298334490727,23625,31263,1306
40_60m,5954943,43638,38126,24264,13862,19374,0.4219826086956522,0.6364160940040917,0.556029148906916,0.5935130375226261,0.8736880700307071,11960,18601,1902
60m_plus,2257772,10290,12218,5738,6480,4552,0.34215861657722124,0.4696349648060239,0.5576287657920311,0.5098631597654167,1.1873663751214771,4199,3219,2281
