seq_id,active_points,true_marking,predicted_marking,marking_tp,marking_fp,marking_fn,marking_iou,marking_precision,marking_recall,marking_f1,predicted_true_marking_ratio,road_to_marking,marking_to_road,other_to_marking
013,7824213,138355,154015,93704,60311,44651,0.4716660123020547,0.6084082719215661,0.6772722344693,0.6409959982214317,1.11318709117849,51991,44241,8320
034,7861171,2363,5294,1889,3405,474,0.32749653259362,0.3568190404231205,0.7994075327972916,0.49340472770014365,2.2403724079559884,3012,343,393
037,7858884,227223,201872,163794,38078,63429,0.6173893049781192,0.8113755250852025,0.7208513222693125,0.7634393316165418,0.8884311887440972,37771,63396,307
038,7795979,9746,6711,5568,1143,4178,0.5113417210028469,0.829682610639249,0.5713113072029551,0.676672540560248,0.6885901908475272,993,4124,150
054,7859842,294306,328729,240185,88544,54121,0.6273605850855426,0.7306474329919174,0.8161063654835443,0.7710160745383485,1.1169632967047902,87017,53155,1527
106,7855393,40657,44914,36112,8802,4545,0.7301401160557229,0.8040254708999421,0.8882111321543645,0.844024260555562,1.1047052168138327,8281,4440,521
116,7843701,135867,107879,79580,28299,56287,0.48475323757659927,0.7376783247898108,0.5857198583909264,0.6529748180482962,0.7940044308036536,27609,54372,690
123,7853739,194671,319983,157051,162932,37620,0.4391769643990682,0.49081044930511936,0.806750877120886,0.610316834222604,1.643711698198499,162174,37169,758
124,7856683,107750,182393,100455,81938,7295,0.5295801526717557,0.5507612682504263,0.9322969837587007,0.6924516531503431,1.6927424593967517,80532,7010,1406
