group,intensity_count,intensity_mean,intensity_p25,intensity_median,intensity_p75,rgb_valid_count,rgb_valid_mean,rgb_valid_p25,rgb_valid_median,rgb_valid_p75,red_count,red_mean,red_p25,red_median,red_p75,green_count,green_mean,green_p25,green_median,green_p75,blue_count,blue_mean,blue_p25,blue_median,blue_p75,range_count,range_mean,range_p25,range_median,range_p75
marking_tp,878338,39.19874032978161,30.0,35.0,47.0,878338,0.7866534105708045,1.0,1.0,1.0,878338,0.39056062896051,0.22573909163475037,0.4218488931655884,0.5599844306707382,878338,0.3862294388694747,0.23628507554531097,0.39908403158187866,0.5558456182479858,878338,0.3657210055814513,0.251821830868721,0.3568726032972336,0.5293465405702591,878338,18.647587168449576,12.388907194137573,16.288742065429688,21.981741428375244
marking_to_road,268250,25.423879829865356,18.0,28.0,32.0,268250,0.7751879465682198,1.0,1.0,1.0,268250,0.3209541697341598,0.19414691627025604,0.28793972730636597,0.5268388837575912,268250,0.3283664465309828,0.2061096876859665,0.30618488788604736,0.5308352708816528,268250,0.3358322900580199,0.2327878773212433,0.3410307615995407,0.522312119603157,268250,21.71432572248731,12.82077169418335,18.220529556274414,27.172240734100342
marking_to_other,4350,18.334819919980806,3.0,17.0,30.0,4350,0.748735632183908,0.0,1.0,1.0,4350,0.361081232241858,0.0,0.41401441395282745,0.5681915879249573,4350,0.36246996876494636,0.0,0.4162488132715225,0.5716453790664673,4350,0.36443085295544275,0.0,0.4242899417877197,0.5650560259819031,4350,47.42298659510996,21.29945707321167,38.97816848754883,73.8303337097168
road_tp,27631369,27.91890446218275,26.0,29.0,33.0,27631369,0.908267492404945,1.0,1.0,1.0,27631369,0.384270724087362,0.27772611379623413,0.3775922656059265,0.5405300855636597,27631369,0.39304734488291426,0.293160617351532,0.38642895221710205,0.5463337302207947,27631369,0.40258439573890914,0.32656770944595337,0.4117647409439087,0.538092851638794,27631369,17.19133431593803,11.560734748840332,15.034229278564453,20.382251739501953
road_to_marking,459380,32.269823064666646,28.0,30.5,36.0,459380,0.7923095621652257,1.0,1.0,1.0,459380,0.42510922529424366,0.2462483011186123,0.5006108283996582,0.6011186242103577,459380,0.41703433814670243,0.2627592012286186,0.49741822481155396,0.5952811241149902,459380,0.38551624528927464,0.26707546412944794,0.454153448343277,0.5561952590942383,459380,18.610220697978754,12.609139442443848,16.20025062561035,21.42688751220703
other_tp,40614483,20.073009008460623,8.0,21.0,28.0,40614483,0.7568040489139269,1.0,1.0,1.0,40614483,0.23879712497648822,0.09040962904691696,0.22951138019561768,0.32917115092277527,40614483,0.24571119047636325,0.09646627306938171,0.239911288022995,0.3426874279975891,40614483,0.24674572137259454,0.0941176488995552,0.2384619265794754,0.3502955734729767,40614483,28.769177053489486,17.49689483642578,24.35769271850586,34.677059173583984
other_to_marking,14072,22.432152497083916,7.0,27.0,34.0,14072,0.8563104036384309,1.0,1.0,1.0,14072,0.29574929273064127,0.22694069147109985,0.2780478596687317,0.37561243027448654,14072,0.29786427753605266,0.23814116418361664,0.29073649644851685,0.3699433207511902,14072,0.29972032073780236,0.25378191471099854,0.30553457140922546,0.35896673798561096,14072,33.88231178635288,15.519066333770752,25.035770416259766,46.3207893371582
