PWA-ACO Hybrid  —  run summary
========================================
Dataset   : pr107
Cities    : 107
Elapsed   : 1.9s

PWA best  : 511.499617
Hybrid    : 474.848353
Improvement: +7.165%

ACO convergence history (best per iteration):
  iter    1: 490.494378
  iter    2: 490.494378
  iter    3: 480.639580
  iter    4: 480.639580
  iter    5: 480.639580
  iter    6: 480.639580
  iter    7: 480.639580
  iter    8: 480.639580
  iter    9: 480.639580
  iter   10: 480.639580
  iter   11: 480.639580
  iter   12: 480.639580
  iter   13: 480.639580
  iter   14: 480.639580
  iter   15: 480.639580
  iter   16: 480.639580
  iter   17: 480.639580
  iter   18: 480.639580
  iter   19: 480.639580
  iter   20: 480.639580
  iter   21: 480.639580
  iter   22: 480.639580
  iter   23: 480.639580
  iter   24: 480.639580
  iter   25: 480.639580
  iter   26: 480.639580
  iter   27: 480.639580
  iter   28: 480.639580
  iter   29: 480.639580
  iter   30: 480.639580
  iter   31: 480.639580
  iter   32: 480.639580
  iter   33: 480.639580
  iter   34: 480.639580
  iter   35: 480.639580
  iter   36: 480.639580
  iter   37: 480.639580
  iter   38: 480.639580
  iter   39: 480.639580
  iter   40: 480.639580
  iter   41: 480.639580
  iter   42: 480.639580
  iter   43: 480.639580
  iter   44: 480.639580
  iter   45: 480.639580
  iter   46: 480.639580
  iter   47: 480.639580
  iter   48: 480.639580
  iter   49: 480.639580
  iter   50: 480.639580
  iter   51: 480.639580
  iter   52: 480.639580
  iter   53: 480.639580
  iter   54: 480.639580
  iter   55: 480.639580
  iter   56: 480.639580
  iter   57: 480.639580
  iter   58: 480.639580
  iter   59: 480.639580
  iter   60: 480.639580
  iter   61: 480.639580
  iter   62: 480.639580
  iter   63: 480.639580
  iter   64: 480.639580
  iter   65: 480.639580
  iter   66: 480.639580
  iter   67: 476.792865
  iter   68: 476.792865
  iter   69: 476.792865
  iter   70: 476.792865
  iter   71: 476.792865
  iter   72: 476.792865
  iter   73: 476.792865
  iter   74: 476.792865
  iter   75: 476.792865
  iter   76: 476.792865
  iter   77: 476.792865
  iter   78: 476.792865
  iter   79: 476.792865
  iter   80: 476.792865

Best tour:
63 -> 62 -> 65 -> 66 -> 67 -> 64 -> 68 -> 71 -> 70 -> 72 -> 69 -> 61 -> 74 -> 77 -> 76 -> 75 -> 73 -> 60 -> 78 -> 59 -> 80 -> 81 -> 82 -> 79 -> 84 -> 87 -> 86 -> 85 -> 83 -> 58 -> 88 -> 89 -> 92 -> 91 -> 90 -> 57 -> 93 -> 56 -> 95 -> 96 -> 94 -> 97 -> 99 -> 98 -> 100 -> 55 -> 101 -> 102 -> 104 -> 106 -> 105 -> 103 -> 54 -> 53 -> 52 -> 49 -> 50 -> 51 -> 48 -> 45 -> 42 -> 44 -> 47 -> 46 -> 43 -> 40 -> 37 -> 41 -> 38 -> 39 -> 36 -> 32 -> 30 -> 33 -> 35 -> 34 -> 31 -> 26 -> 27 -> 24 -> 29 -> 28 -> 25 -> 22 -> 19 -> 18 -> 23 -> 20 -> 21 -> 15 -> 12 -> 14 -> 17 -> 16 -> 13 -> 8 -> 6 -> 9 -> 10 -> 11 -> 7 -> 2 -> 3 -> 0 -> 5 -> 4 -> 1
