seed,hybrid_cost,pwa_cost,improvement_pct,elapsed_seconds,peak_memory_mb,peak_cpu_pct,n_ants,n_iters,error
42,161.54539542531194,185.23512810971073,12.789006559472824,2.048,253.7,579.0,20,80,
43,161.77242626250305,185.23512810971073,12.666442961785974,2.04,252.57,575.1,20,80,
44,162.71582513912102,185.23512810971073,12.157144921913522,2.063,243.5,622.9,20,80,
45,161.60704729656524,185.23512810971073,12.75572352515722,2.246,254.54,573.0,20,80,
46,160.63684928923448,185.23512810971073,13.279489193813838,2.051,253.56,602.1,20,80,
47,162.16053581490883,185.23512810971073,12.45692031002636,2.023,253.59,599.0,20,80,
48,160.6947781421111,185.23512810971073,13.248216047371383,2.034,253.92,608.7,20,80,
49,161.01332624848186,185.23512810971073,13.076246448720475,2.029,253.11,467.2,20,80,
50,161.83828790502076,185.23512810971073,12.630887263906295,2.053,253.48,623.0,20,80,
51,161.46355005818415,185.23512810971073,12.8331911415027,2.026,252.74,517.2,20,80,
52,163.094401016928,185.23512810971073,11.95276906638856,2.077,253.44,639.0,20,80,
53,160.3771760421792,185.23512810971073,13.419674940278448,2.06,253.92,619.0,20,80,
54,160.55742756981874,185.23512810971073,13.322365358948504,2.012,253.86,535.1,20,80,
55,161.4808212751399,185.23512810971073,12.823867198937378,2.042,253.71,587.0,20,80,
56,161.2867112501396,185.23512810971073,12.928658351123875,2.179,243.09,666.9,20,80,
57,161.42523924949896,185.23512810971073,12.853873400357244,1.991,253.31,593.0,20,80,
58,161.58296651218643,185.23512810971073,12.768723642696777,2.013,253.42,481.2,20,80,
59,161.09662537521123,185.23512810971073,13.031277048164853,1.988,253.57,607.0,20,80,
60,161.9295024070951,185.23512810971073,12.581644713097948,2.04,253.85,557.1,20,80,
61,162.40725348076643,185.23512810971073,12.323728691149688,2.109,243.21,616.7,20,80,
62,161.6625587486716,185.23512810971073,12.725755423170938,2.164,2777.05,632.9,20,80,
63,161.43999562774343,185.23512810971073,12.845907104549825,2.046,243.54,501.1,20,80,
64,161.2627768028539,185.23512810971073,12.941579467939004,2.057,253.91,615.0,20,80,
65,162.38566196768625,185.23512810971073,12.335384964611702,2.064,243.11,558.2,20,80,
66,162.42367120798124,185.23512810971073,12.314865508781226,2.232,254.09,658.9,20,80,
67,161.30568433472237,185.23512810971073,12.918415647822194,2.006,253.89,633.0,20,80,
68,161.70785418268383,185.23512810971073,12.701302483561436,1.999,253.48,612.3,20,80,
69,160.5183002294372,185.23512810971073,13.343488426036721,2.108,253.15,451.3,20,80,
70,161.06343948134148,185.23512810971073,13.049192599177456,2.052,253.12,619.0,20,80,
71,162.59580455156544,185.23512810971073,12.22193856487983,2.0,252.49,519.2,20,80,
