PWA-ACO Hybrid  —  run summary
========================================
Dataset   : pr124
Cities    : 124
Elapsed   : 2.4s

PWA best  : 728.533465
Hybrid    : 651.686202
Improvement: +10.548%

ACO convergence history (best per iteration):
  iter    1: 667.468169
  iter    2: 662.403738
  iter    3: 657.269410
  iter    4: 657.269410
  iter    5: 657.269410
  iter    6: 657.269410
  iter    7: 657.269410
  iter    8: 657.269410
  iter    9: 657.269410
  iter   10: 655.436360
  iter   11: 655.436360
  iter   12: 655.436360
  iter   13: 655.436360
  iter   14: 655.436360
  iter   15: 655.436360
  iter   16: 655.436360
  iter   17: 655.436360
  iter   18: 655.436360
  iter   19: 655.436360
  iter   20: 655.436360
  iter   21: 655.436360
  iter   22: 655.436360
  iter   23: 654.509495
  iter   24: 654.509495
  iter   25: 654.509495
  iter   26: 654.509495
  iter   27: 654.509495
  iter   28: 654.509495
  iter   29: 654.509495
  iter   30: 654.509495
  iter   31: 654.509495
  iter   32: 654.509495
  iter   33: 651.686202
  iter   34: 651.686202
  iter   35: 651.686202
  iter   36: 651.686202
  iter   37: 651.686202
  iter   38: 651.686202
  iter   39: 651.686202
  iter   40: 651.686202
  iter   41: 651.686202
  iter   42: 651.686202
  iter   43: 651.686202
  iter   44: 651.686202
  iter   45: 651.686202
  iter   46: 651.686202
  iter   47: 651.686202
  iter   48: 651.686202
  iter   49: 651.686202
  iter   50: 651.686202
  iter   51: 651.686202
  iter   52: 651.686202
  iter   53: 651.686202
  iter   54: 651.686202
  iter   55: 651.686202
  iter   56: 651.686202
  iter   57: 651.686202
  iter   58: 651.686202
  iter   59: 651.686202
  iter   60: 651.686202
  iter   61: 651.686202
  iter   62: 651.686202
  iter   63: 651.686202
  iter   64: 651.686202
  iter   65: 651.686202
  iter   66: 651.686202
  iter   67: 651.686202
  iter   68: 651.686202
  iter   69: 651.686202
  iter   70: 651.686202
  iter   71: 651.686202
  iter   72: 651.686202
  iter   73: 651.686202
  iter   74: 651.686202
  iter   75: 651.686202
  iter   76: 651.686202
  iter   77: 651.686202
  iter   78: 651.686202
  iter   79: 651.686202
  iter   80: 651.686202

Best tour:
55 -> 54 -> 36 -> 37 -> 25 -> 23 -> 24 -> 21 -> 22 -> 38 -> 39 -> 20 -> 19 -> 18 -> 17 -> 44 -> 43 -> 42 -> 40 -> 41 -> 53 -> 52 -> 51 -> 45 -> 16 -> 15 -> 8 -> 9 -> 11 -> 12 -> 10 -> 13 -> 14 -> 49 -> 50 -> 48 -> 47 -> 46 -> 87 -> 86 -> 85 -> 84 -> 89 -> 88 -> 103 -> 104 -> 105 -> 106 -> 107 -> 108 -> 109 -> 110 -> 111 -> 112 -> 113 -> 102 -> 101 -> 100 -> 90 -> 114 -> 115 -> 116 -> 117 -> 118 -> 119 -> 120 -> 121 -> 122 -> 123 -> 99 -> 98 -> 97 -> 96 -> 95 -> 94 -> 93 -> 92 -> 91 -> 79 -> 78 -> 77 -> 76 -> 75 -> 74 -> 73 -> 72 -> 71 -> 70 -> 69 -> 68 -> 67 -> 63 -> 62 -> 80 -> 81 -> 83 -> 82 -> 66 -> 64 -> 65 -> 61 -> 32 -> 33 -> 29 -> 30 -> 31 -> 5 -> 4 -> 3 -> 2 -> 1 -> 0 -> 7 -> 6 -> 26 -> 27 -> 28 -> 34 -> 35 -> 58 -> 60 -> 59 -> 57 -> 56
