PWA-ACO Hybrid  —  run summary
========================================
Dataset   : pr124
Cities    : 124
Elapsed   : 2.4s

PWA best  : 728.533465
Hybrid    : 649.508950
Improvement: +10.847%

ACO convergence history (best per iteration):
  iter    1: 666.023262
  iter    2: 666.023262
  iter    3: 663.814724
  iter    4: 663.814724
  iter    5: 663.814724
  iter    6: 663.814724
  iter    7: 653.829024
  iter    8: 653.829024
  iter    9: 653.829024
  iter   10: 653.829024
  iter   11: 653.829024
  iter   12: 653.829024
  iter   13: 653.829024
  iter   14: 653.829024
  iter   15: 653.829024
  iter   16: 653.829024
  iter   17: 653.829024
  iter   18: 651.964422
  iter   19: 651.964422
  iter   20: 651.964422
  iter   21: 651.964422
  iter   22: 651.964422
  iter   23: 651.964422
  iter   24: 651.964422
  iter   25: 651.964422
  iter   26: 651.964422
  iter   27: 651.964422
  iter   28: 651.964422
  iter   29: 651.964422
  iter   30: 651.964422
  iter   31: 651.964422
  iter   32: 651.964422
  iter   33: 651.964422
  iter   34: 651.964422
  iter   35: 651.964422
  iter   36: 651.964422
  iter   37: 651.964422
  iter   38: 651.964422
  iter   39: 651.964422
  iter   40: 651.964422
  iter   41: 651.964422
  iter   42: 651.964422
  iter   43: 651.964422
  iter   44: 651.964422
  iter   45: 651.964422
  iter   46: 651.964422
  iter   47: 651.964422
  iter   48: 651.964422
  iter   49: 651.964422
  iter   50: 651.964422
  iter   51: 651.964422
  iter   52: 651.964422
  iter   53: 651.964422
  iter   54: 651.964422
  iter   55: 651.964422
  iter   56: 651.964422
  iter   57: 651.964422
  iter   58: 651.964422
  iter   59: 649.942664
  iter   60: 649.942664
  iter   61: 649.942664
  iter   62: 649.942664
  iter   63: 649.942664
  iter   64: 649.942664
  iter   65: 649.942664
  iter   66: 649.942664
  iter   67: 649.942664
  iter   68: 649.942664
  iter   69: 649.942664
  iter   70: 649.942664
  iter   71: 649.942664
  iter   72: 649.942664
  iter   73: 649.942664
  iter   74: 649.942664
  iter   75: 649.942664
  iter   76: 649.942664
  iter   77: 649.942664
  iter   78: 649.942664
  iter   79: 649.942664
  iter   80: 649.942664

Best tour:
42 -> 40 -> 41 -> 17 -> 18 -> 19 -> 20 -> 39 -> 38 -> 22 -> 21 -> 24 -> 23 -> 25 -> 37 -> 36 -> 54 -> 55 -> 56 -> 57 -> 35 -> 34 -> 28 -> 27 -> 26 -> 6 -> 7 -> 0 -> 1 -> 2 -> 3 -> 4 -> 5 -> 31 -> 30 -> 29 -> 33 -> 32 -> 58 -> 60 -> 59 -> 61 -> 65 -> 64 -> 66 -> 82 -> 83 -> 81 -> 80 -> 62 -> 63 -> 67 -> 68 -> 69 -> 70 -> 71 -> 72 -> 73 -> 74 -> 75 -> 76 -> 77 -> 78 -> 79 -> 91 -> 92 -> 93 -> 94 -> 95 -> 96 -> 97 -> 98 -> 99 -> 123 -> 122 -> 121 -> 120 -> 119 -> 118 -> 117 -> 116 -> 115 -> 114 -> 90 -> 100 -> 101 -> 102 -> 113 -> 112 -> 111 -> 110 -> 109 -> 108 -> 107 -> 106 -> 105 -> 104 -> 103 -> 88 -> 87 -> 86 -> 85 -> 89 -> 84 -> 53 -> 52 -> 51 -> 45 -> 46 -> 47 -> 48 -> 50 -> 49 -> 14 -> 13 -> 12 -> 11 -> 10 -> 9 -> 8 -> 15 -> 16 -> 43 -> 44
