PWA-ACO Hybrid  —  run summary
========================================
Dataset   : pr107
Cities    : 107
Elapsed   : 1.9s

PWA best  : 511.499617
Hybrid    : 478.765804
Improvement: +6.400%

ACO convergence history (best per iteration):
  iter    1: 492.875910
  iter    2: 492.875910
  iter    3: 492.875910
  iter    4: 492.875910
  iter    5: 491.330348
  iter    6: 487.627313
  iter    7: 487.627313
  iter    8: 487.627313
  iter    9: 482.568082
  iter   10: 482.568082
  iter   11: 482.568082
  iter   12: 482.568082
  iter   13: 482.568082
  iter   14: 482.568082
  iter   15: 482.568082
  iter   16: 482.568082
  iter   17: 482.568082
  iter   18: 482.568082
  iter   19: 482.568082
  iter   20: 478.765804
  iter   21: 478.765804
  iter   22: 478.765804
  iter   23: 478.765804
  iter   24: 478.765804
  iter   25: 478.765804
  iter   26: 478.765804
  iter   27: 478.765804
  iter   28: 478.765804
  iter   29: 478.765804
  iter   30: 478.765804
  iter   31: 478.765804
  iter   32: 478.765804
  iter   33: 478.765804
  iter   34: 478.765804
  iter   35: 478.765804
  iter   36: 478.765804
  iter   37: 478.765804
  iter   38: 478.765804
  iter   39: 478.765804
  iter   40: 478.765804
  iter   41: 478.765804
  iter   42: 478.765804
  iter   43: 478.765804
  iter   44: 478.765804
  iter   45: 478.765804
  iter   46: 478.765804
  iter   47: 478.765804
  iter   48: 478.765804
  iter   49: 478.765804
  iter   50: 478.765804
  iter   51: 478.765804
  iter   52: 478.765804
  iter   53: 478.765804
  iter   54: 478.765804
  iter   55: 478.765804
  iter   56: 478.765804
  iter   57: 478.765804
  iter   58: 478.765804
  iter   59: 478.765804
  iter   60: 478.765804
  iter   61: 478.765804
  iter   62: 478.765804
  iter   63: 478.765804
  iter   64: 478.765804
  iter   65: 478.765804
  iter   66: 478.765804
  iter   67: 478.765804
  iter   68: 478.765804
  iter   69: 478.765804
  iter   70: 478.765804
  iter   71: 478.765804
  iter   72: 478.765804
  iter   73: 478.765804
  iter   74: 478.765804
  iter   75: 478.765804
  iter   76: 478.765804
  iter   77: 478.765804
  iter   78: 478.765804
  iter   79: 478.765804
  iter   80: 478.765804

Best tour:
3 -> 2 -> 5 -> 4 -> 6 -> 8 -> 9 -> 7 -> 11 -> 10 -> 13 -> 16 -> 17 -> 14 -> 12 -> 15 -> 21 -> 20 -> 23 -> 18 -> 19 -> 22 -> 25 -> 28 -> 29 -> 24 -> 26 -> 27 -> 30 -> 33 -> 32 -> 35 -> 31 -> 34 -> 37 -> 40 -> 36 -> 39 -> 38 -> 41 -> 43 -> 46 -> 47 -> 44 -> 42 -> 45 -> 48 -> 51 -> 50 -> 53 -> 52 -> 49 -> 98 -> 100 -> 55 -> 103 -> 54 -> 105 -> 106 -> 104 -> 101 -> 102 -> 99 -> 97 -> 94 -> 96 -> 95 -> 56 -> 93 -> 57 -> 90 -> 91 -> 92 -> 89 -> 88 -> 58 -> 85 -> 86 -> 87 -> 84 -> 83 -> 80 -> 81 -> 82 -> 79 -> 78 -> 59 -> 75 -> 60 -> 73 -> 76 -> 77 -> 74 -> 71 -> 68 -> 70 -> 72 -> 61 -> 69 -> 65 -> 62 -> 63 -> 64 -> 67 -> 66 -> 1 -> 0
