PWA-ACO Hybrid  —  run summary
========================================
Dataset   : lin105
Cities    : 105
Elapsed   : 2.1s

PWA best  : 185.235128
Hybrid    : 163.094401
Improvement: +11.953%

ACO convergence history (best per iteration):
  iter    1: 165.553356
  iter    2: 165.553356
  iter    3: 165.553356
  iter    4: 165.553356
  iter    5: 163.252300
  iter    6: 163.252300
  iter    7: 163.252300
  iter    8: 163.252300
  iter    9: 163.252300
  iter   10: 163.252300
  iter   11: 163.252300
  iter   12: 163.252300
  iter   13: 163.252300
  iter   14: 163.252300
  iter   15: 163.252300
  iter   16: 163.252300
  iter   17: 163.252300
  iter   18: 163.252300
  iter   19: 163.252300
  iter   20: 163.252300
  iter   21: 163.252300
  iter   22: 163.252300
  iter   23: 163.252300
  iter   24: 163.252300
  iter   25: 163.252300
  iter   26: 163.252300
  iter   27: 163.252300
  iter   28: 163.252300
  iter   29: 163.252300
  iter   30: 163.252300
  iter   31: 163.252300
  iter   32: 163.252300
  iter   33: 163.252300
  iter   34: 163.252300
  iter   35: 163.252300
  iter   36: 163.252300
  iter   37: 163.252300
  iter   38: 163.252300
  iter   39: 163.252300
  iter   40: 163.252300
  iter   41: 163.252300
  iter   42: 163.252300
  iter   43: 163.252300
  iter   44: 163.252300
  iter   45: 163.252300
  iter   46: 163.252300
  iter   47: 163.252300
  iter   48: 163.252300
  iter   49: 163.252300
  iter   50: 163.252300
  iter   51: 163.252300
  iter   52: 163.252300
  iter   53: 163.252300
  iter   54: 163.252300
  iter   55: 163.252300
  iter   56: 163.094401
  iter   57: 163.094401
  iter   58: 163.094401
  iter   59: 163.094401
  iter   60: 163.094401
  iter   61: 163.094401
  iter   62: 163.094401
  iter   63: 163.094401
  iter   64: 163.094401
  iter   65: 163.094401
  iter   66: 163.094401
  iter   67: 163.094401
  iter   68: 163.094401
  iter   69: 163.094401
  iter   70: 163.094401
  iter   71: 163.094401
  iter   72: 163.094401
  iter   73: 163.094401
  iter   74: 163.094401
  iter   75: 163.094401
  iter   76: 163.094401
  iter   77: 163.094401
  iter   78: 163.094401
  iter   79: 163.094401
  iter   80: 163.094401

Best tour:
86 -> 87 -> 93 -> 94 -> 99 -> 98 -> 97 -> 89 -> 88 -> 85 -> 92 -> 95 -> 96 -> 100 -> 101 -> 91 -> 90 -> 84 -> 82 -> 83 -> 81 -> 77 -> 70 -> 67 -> 66 -> 71 -> 76 -> 78 -> 79 -> 75 -> 72 -> 73 -> 74 -> 80 -> 69 -> 68 -> 62 -> 61 -> 63 -> 104 -> 58 -> 55 -> 54 -> 49 -> 48 -> 47 -> 44 -> 39 -> 103 -> 43 -> 46 -> 50 -> 53 -> 56 -> 57 -> 52 -> 51 -> 45 -> 42 -> 40 -> 41 -> 36 -> 35 -> 32 -> 31 -> 30 -> 29 -> 28 -> 21 -> 20 -> 102 -> 27 -> 22 -> 19 -> 14 -> 10 -> 9 -> 6 -> 5 -> 1 -> 0 -> 2 -> 11 -> 18 -> 23 -> 26 -> 25 -> 24 -> 17 -> 15 -> 16 -> 7 -> 8 -> 4 -> 3 -> 13 -> 12 -> 33 -> 34 -> 37 -> 38 -> 59 -> 60 -> 64 -> 65
