group,count,mean,std,min,p05,p25,median,p75,p95,max
lane_tp,140736,47.19431293710707,21.376852367152924,0.0,14.0,31.0,44.0,62.0,84.5,114.0
lane_to_road,133298,26.37578779852405,9.627758715094805,0.0,4.0,26.0,29.0,31.0,38.0,112.50000762939453
lane_to_other,5716,37.019684101669334,15.908278901576518,0.0,3.0,29.0,37.0,49.0,58.0,114.0
road_tp,13973570,28.0664977457513,8.931516805297084,0.0,6.0,27.0,29.0,33.0,39.5,114.0
road_to_lane,129159,34.74326463889737,16.05059919562411,0.0,9.0,28.5,33.0,39.0,64.0,114.0
other_to_lane,64164,43.87717285953505,20.739854891555293,0.0,13.0,31.0,40.0,54.0,84.00000762939453,114.0
