step,seq_id,frame_idx,active_points,true_lane,lane_tp,lane_to_road,lane_to_other,road_to_lane,other_to_lane,predicted_lane,lane_false_positive,lane_recall,lane_precision,lane_f1,lane_iou,lane_to_road_rate,lane_tp_intensity_mean,lane_tp_intensity_median,lane_to_road_intensity_mean,lane_to_road_intensity_median,road_to_lane_intensity_mean,road_to_lane_intensity_median,lane_tp_range_mean,lane_tp_range_median,lane_to_road_range_mean,lane_to_road_range_median
27,038,40,16375,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
28,038,11,16374,0,0,0,0,9,24,33,33,,0.0,0.0,0.0,,,,,,2.3333332538604736,2.0,,,,
29,124,60,16372,278,175,103,0,95,1,271,96,0.6294964028776978,0.6457564575645757,0.6375227686703097,0.4679144385026738,0.37050359712230213,36.03428649902344,33.0,21.766990661621094,27.0,30.094736099243164,26.0,28.722410202026367,27.009260177612305,30.990995407104492,23.400094985961914
30,038,5,16383,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
31,106,69,16381,0,0,0,0,0,5,5,5,,0.0,0.0,0.0,,,,,,,,,,,
32,123,2,16358,393,108,281,4,73,0,181,73,0.2748091603053435,0.5966850828729282,0.37630662020905925,0.2317596566523605,0.7150127226463104,62.367286682128906,70.0,29.443950653076172,30.0,35.77397155761719,32.0,13.999225616455078,14.18131399154663,13.93779182434082,13.989946365356445
33,034,31,16379,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
34,037,24,16382,0,0,0,0,3,0,3,3,,0.0,0.0,0.0,,,,,,51.33333206176758,54.0,,,,
35,038,46,15971,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
36,038,67,15914,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
37,037,67,16365,0,0,0,0,3,0,3,3,,0.0,0.0,0.0,,,,,,48.33333206176758,49.5,,,,
38,123,22,16370,102,85,17,0,142,0,227,142,0.8333333333333334,0.3744493392070485,0.5167173252279635,0.3483606557377049,0.16666666666666666,54.141178131103516,44.0,32.764705657958984,33.0,45.97887420654297,37.0,15.286628723144531,14.18122386932373,15.52907943725586,14.835261344909668
39,106,22,16379,50,27,22,1,21,4,52,25,0.54,0.5192307692307693,0.5294117647058824,0.36,0.44,55.25925827026367,54.0,20.045454025268555,14.0,50.33333206176758,41.0,37.379581451416016,35.4577522277832,38.662776947021484,29.59745979309082
40,116,28,16382,172,149,23,0,56,0,205,56,0.8662790697674418,0.7268292682926829,0.7904509283819628,0.6535087719298246,0.13372093023255813,43.68344497680664,48.0,28.101451873779297,28.0,28.410715103149414,28.0,9.4716215133667,9.432563781738281,10.659697532653809,11.064665794372559
41,123,51,16360,317,98,219,0,246,118,462,364,0.30914826498422715,0.21212121212121213,0.251604621309371,0.14390602055800295,0.6908517350157729,64.29081726074219,70.5,30.372905731201172,30.0,35.00033950805664,31.0,15.156811714172363,15.789926052093506,16.166439056396484,16.157917022705078
42,013,29,16328,581,178,365,38,152,48,378,200,0.306368330464716,0.4708994708994709,0.37122002085505734,0.22791293213828426,0.6282271944922547,45.331459045410156,42.75,29.262786865234375,29.0,36.18311309814453,30.0,11.994437217712402,12.243500232696533,11.23206615447998,10.793450355529785
43,116,15,16372,148,134,14,0,44,0,178,44,0.9054054054054054,0.7528089887640449,0.8220858895705522,0.6979166666666666,0.0945945945945946,40.648006439208984,40.0,27.64285659790039,27.75,34.32575988769531,28.5,10.615102767944336,10.59018325805664,11.101801872253418,11.43924617767334
44,123,70,16368,48,10,16,22,23,13,46,36,0.20833333333333334,0.21739130434782608,0.2127659574468085,0.11904761904761904,0.3333333333333333,22.100000381469727,23.0,3.875,5.0,31.95652198791504,37.0,55.529014587402344,58.5411319732666,57.123626708984375,56.11238670349121
45,124,33,16379,517,214,303,0,156,0,370,156,0.41392649903288203,0.5783783783783784,0.48252536640360766,0.3179791976225854,0.586073500967118,56.124534606933594,59.500003814697266,29.931795120239258,30.0,33.94139862060547,32.0,12.16604995727539,9.683064460754395,15.134536743164062,14.850000381469727
46,116,13,16379,126,118,8,0,53,0,171,53,0.9365079365079365,0.6900584795321637,0.7946127946127947,0.659217877094972,0.06349206349206349,43.348873138427734,40.0,25.28125,24.75,36.24528121948242,29.5,12.77896499633789,12.716455459594727,13.36816120147705,13.442311763763428
47,123,13,16348,226,96,130,0,138,25,259,163,0.4247787610619469,0.37065637065637064,0.3958762886597938,0.2467866323907455,0.5752212389380531,34.80208206176758,31.0,14.307692527770996,14.0,35.16666793823242,34.0,32.73301696777344,30.339213371276855,35.1163330078125,32.78089714050293
48,038,13,16383,0,0,0,0,0,9,9,9,,0.0,0.0,0.0,,,,,,,,,,,
49,038,57,16381,0,0,0,0,2,39,41,41,,0.0,0.0,0.0,,,,,,29.5,29.5,,,,
50,054,1,16384,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
51,037,49,16377,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
52,116,15,16375,106,68,38,0,55,0,123,55,0.6415094339622641,0.5528455284552846,0.5938864628820961,0.422360248447205,0.3584905660377358,40.84558868408203,37.0,19.236841201782227,17.0,35.599998474121094,34.0,20.62433433532715,21.183439254760742,24.6713924407959,25.01902961730957
53,038,64,15935,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
54,038,67,15914,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
55,034,54,16383,0,0,0,0,10,0,10,10,,0.0,0.0,0.0,,,,,,46.099998474121094,46.5,,,,
56,037,16,16384,0,0,0,0,9,0,9,9,,0.0,0.0,0.0,,,,,,50.88888931274414,48.0,,,,
57,013,69,16150,394,204,184,6,114,20,338,134,0.5177664974619289,0.6035502958579881,0.5573770491803278,0.38636363636363635,0.467005076142132,47.18382263183594,44.75,31.08469009399414,31.0,36.668128967285156,34.0,11.959060668945312,11.257973670959473,11.938621520996094,10.625062465667725
58,054,41,16354,85,46,39,0,79,70,195,149,0.5411764705882353,0.2358974358974359,0.32857142857142857,0.19658119658119658,0.4588235294117647,33.05434799194336,32.0,8.948718070983887,8.0,27.367088317871094,27.0,37.62159729003906,35.60517692565918,50.00217056274414,47.612911224365234
59,034,29,16375,0,0,0,0,4,0,4,4,,0.0,0.0,0.0,,,,,,46.75,47.0,,,,
60,054,5,16384,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
61,037,43,16384,0,0,0,0,0,1,1,1,,0.0,0.0,0.0,,,,,,,,,,,
62,037,28,16379,0,0,0,0,6,10,16,16,,0.0,0.0,0.0,,,,,,11.5,5.5,,,,
63,034,64,16383,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
64,038,0,16380,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
65,034,20,16378,0,0,0,0,13,0,13,13,,0.0,0.0,0.0,,,,,,47.94872283935547,49.5,,,,
66,123,36,16360,126,63,59,4,138,0,201,138,0.5,0.31343283582089554,0.3853211009174312,0.23863636363636365,0.46825396825396826,48.13492202758789,49.0,12.118643760681152,12.0,34.159420013427734,34.5,30.27482032775879,29.224946975708008,31.51089096069336,31.02377700805664
67,116,6,16362,69,35,23,11,47,0,82,47,0.5072463768115942,0.4268292682926829,0.46357615894039733,0.3017241379310345,0.3333333333333333,29.157142639160156,25.0,12.30434799194336,11.0,28.9255313873291,28.0,30.756343841552734,31.29681968688965,29.940034866333008,30.897846221923828
68,013,66,16189,368,174,185,9,69,10,253,79,0.47282608695652173,0.6877470355731226,0.5603864734299517,0.38926174496644295,0.5027173913043478,42.57183837890625,41.0,31.08108139038086,29.5,40.272705078125,31.0,12.159987449645996,12.749399185180664,11.89008617401123,11.109736442565918
69,106,28,16332,63,63,0,0,35,0,98,35,1.0,0.6428571428571429,0.782608695652174,0.6428571428571429,0.0,46.650794982910156,50.0,,,36.74285888671875,31.0,14.201279640197754,14.183531761169434,,
70,034,19,16371,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
71,116,47,16367,16,12,4,0,10,0,22,10,0.75,0.5454545454545454,0.631578947368421,0.46153846153846156,0.25,65.79166412353516,72.0,33.125,33.5,35.150001525878906,32.0,15.313286781311035,15.311439514160156,15.310302734375,15.33987045288086
72,038,23,16376,0,0,0,0,13,3,16,16,,0.0,0.0,0.0,,,,,,46.07692337036133,47.0,,,,
73,116,64,16360,495,151,344,0,86,1,238,87,0.30505050505050507,0.634453781512605,0.4120054570259209,0.25945017182130586,0.694949494949495,39.980133056640625,33.0,21.3905029296875,27.0,36.52325439453125,33.0,26.35163688659668,23.752042770385742,20.663122177124023,17.813600540161133
74,013,60,16364,106,68,11,27,155,8,231,163,0.6415094339622641,0.2943722943722944,0.4035608308605341,0.2527881040892193,0.10377358490566038,43.60293960571289,47.0,11.818181991577148,12.0,33.954837799072266,34.0,33.2309684753418,30.040536880493164,55.861202239990234,57.26386260986328
75,123,57,16355,272,139,132,1,141,0,280,141,0.5110294117647058,0.49642857142857144,0.5036231884057971,0.3365617433414044,0.4852941176470588,44.201438903808594,37.0,28.56818199157715,31.25,43.109928131103516,37.0,22.403053283691406,20.287826538085938,19.225326538085938,17.45988941192627
76,037,73,16366,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
77,116,51,16344,250,231,19,0,60,0,291,60,0.924,0.7938144329896907,0.8539741219963032,0.7451612903225806,0.076,46.344154357910156,50.0,28.061405181884766,28.0,34.27277755737305,32.5,10.930898666381836,9.90534496307373,11.010941505432129,11.232872009277344
78,038,14,16377,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
79,054,34,16342,37,0,37,0,140,577,717,717,0.0,0.0,0.0,0.0,1.0,,,32.42792510986328,32.5,34.842857360839844,32.0,,,12.01127815246582,12.029106140136719
80,123,67,16352,255,153,102,0,201,39,393,240,0.6,0.3893129770992366,0.4722222222222222,0.3090909090909091,0.4,49.946624755859375,47.5,30.068628311157227,31.0,40.13142395019531,35.0,17.603046417236328,15.780084609985352,16.186832427978516,15.907812595367432
81,038,50,16383,0,0,0,0,0,1,1,1,,0.0,0.0,0.0,,,,,,,,,,,
82,124,13,16375,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
83,124,53,16354,216,164,14,38,240,4,408,244,0.7592592592592593,0.4019607843137255,0.5256410256410257,0.3565217391304348,0.06481481481481481,48.20731735229492,48.0,17.85714340209961,18.5,35.150001525878906,35.0,27.44619369506836,25.565911293029785,28.6621036529541,25.311266899108887
84,013,70,16378,178,43,111,24,22,7,72,29,0.24157303370786518,0.5972222222222222,0.344,0.20772946859903382,0.6235955056179775,47.74418640136719,48.0,36.819820404052734,39.0,51.772727966308594,46.0,30.32866096496582,27.849512100219727,22.780569076538086,22.856971740722656
85,106,74,16373,105,54,49,2,24,1,79,25,0.5142857142857142,0.6835443037974683,0.5869565217391305,0.4153846153846154,0.4666666666666667,50.16666793823242,50.5,11.897958755493164,11.0,36.66666793823242,37.0,28.926132202148438,27.99727725982666,35.0126838684082,31.92363739013672
86,013,7,16258,282,138,144,0,127,57,322,184,0.48936170212765956,0.42857142857142855,0.45695364238410596,0.296137339055794,0.5106382978723404,47.675724029541016,47.0,34.20138931274414,34.0,39.607608795166016,37.0,19.391695022583008,15.854761123657227,16.596303939819336,14.74324369430542
87,106,78,16380,29,29,0,0,45,0,74,45,1.0,0.3918918918918919,0.5631067961165048,0.3918918918918919,0.0,44.72413635253906,45.0,,,37.93333435058594,38.0,23.735824584960938,23.514856338500977,,
88,123,71,16280,308,284,9,15,334,76,694,410,0.922077922077922,0.4092219020172911,0.5668662674650699,0.3955431754874652,0.02922077922077922,59.2423095703125,62.25,34.33333206176758,36.0,38.43012619018555,32.5,11.023163795471191,9.745213508605957,14.218095779418945,18.16587257385254
89,106,15,16382,160,149,11,0,49,0,198,49,0.93125,0.7525252525252525,0.8324022346368715,0.7129186602870813,0.06875,42.092281341552734,42.0,32.772727966308594,34.5,30.632652282714844,29.5,13.373169898986816,12.211520195007324,15.883027076721191,17.691280364990234
90,123,38,16371,31,31,0,0,60,0,91,60,1.0,0.34065934065934067,0.5081967213114754,0.34065934065934067,0.0,61.82258224487305,69.0,,,41.266666412353516,38.0,16.78426170349121,19.293142318725586,,
91,038,49,16375,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
92,123,60,16374,107,100,3,4,236,20,356,256,0.9345794392523364,0.2808988764044944,0.4319654427645788,0.27548209366391185,0.028037383177570093,54.994998931884766,55.0,16.33333396911621,16.0,40.84745788574219,35.0,19.664878845214844,17.389066696166992,28.276283264160156,31.673255920410156
93,038,36,16380,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
94,038,35,15865,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
95,106,1,16330,3,2,1,0,1,0,3,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,40.0,40.0,33.0,33.0,33.0,33.0,16.345783233642578,16.345783233642578,16.520366668701172,16.520366668701172
96,038,50,16380,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
97,037,36,16382,0,0,0,0,0,2,2,2,,0.0,0.0,0.0,,,,,,,,,,,
98,054,47,16382,127,124,3,0,162,343,629,505,0.9763779527559056,0.1971383147853736,0.328042328042328,0.1962025316455696,0.023622047244094488,43.40550994873047,44.75,25.33333396911621,27.5,27.808231353759766,29.0,9.723119735717773,9.65259838104248,9.347163200378418,9.358514785766602
99,124,10,16362,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
100,123,64,16382,51,28,17,6,116,7,151,123,0.5490196078431373,0.18543046357615894,0.27722772277227725,0.16091954022988506,0.3333333333333333,54.5,59.5,4.823529243469238,3.0,41.181034088134766,39.0,25.867441177368164,21.911690711975098,55.74637985229492,55.90604019165039
101,106,48,16383,178,63,115,0,19,0,82,19,0.3539325842696629,0.7682926829268293,0.4846153846153846,0.3197969543147208,0.6460674157303371,44.64285659790039,45.5,28.590579986572266,27.5,34.342105865478516,33.0,14.402806282043457,14.826462745666504,9.317004203796387,8.958893775939941
102,106,52,16384,199,193,6,0,58,0,251,58,0.9698492462311558,0.7689243027888446,0.8577777777777778,0.7509727626459144,0.03015075376884422,42.37910079956055,39.666664123535156,33.5,35.0,31.443965911865234,29.0,12.610323905944824,11.578171730041504,14.521166801452637,14.57557725906372
103,124,2,16378,401,104,288,9,91,0,195,91,0.2593516209476309,0.5333333333333333,0.348993288590604,0.21138211382113822,0.7182044887780549,66.09983825683594,73.25,28.79340362548828,29.0,38.04926681518555,33.0,12.554586410522461,13.837440490722656,12.891266822814941,13.0300874710083
104,038,58,16335,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
105,054,1,16384,231,116,115,0,113,116,345,229,0.5021645021645021,0.336231884057971,0.4027777777777778,0.25217391304347825,0.49783549783549785,44.9219856262207,45.75,26.111448287963867,28.0,33.02846908569336,36.5,10.646650314331055,9.510610580444336,11.303328514099121,9.582755088806152
106,038,69,16263,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
107,106,11,16270,218,172,46,0,37,2,211,39,0.7889908256880734,0.8151658767772512,0.8018648018648019,0.669260700389105,0.21100917431192662,39.50242233276367,37.0,28.054346084594727,30.0,33.08378219604492,31.66666603088379,13.312121391296387,10.469667911529541,11.38912582397461,9.11737585067749
108,116,54,16370,333,114,219,0,68,0,182,68,0.34234234234234234,0.6263736263736264,0.44271844660194176,0.28428927680798005,0.6576576576576577,57.53070068359375,61.0,25.924657821655273,29.0,33.335784912109375,31.0,15.876472473144531,13.64072036743164,16.195844650268555,15.395461082458496
109,037,70,16335,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
110,054,3,16384,102,45,57,0,29,136,210,165,0.4411764705882353,0.21428571428571427,0.28846153846153844,0.16853932584269662,0.5588235294117647,44.61111068725586,44.0,29.701753616333008,29.0,40.517242431640625,41.0,13.668219566345215,12.087455749511719,13.565287590026855,12.155933380126953
111,034,70,16382,0,0,0,0,17,0,17,17,,0.0,0.0,0.0,,,,,,47.35293960571289,46.0,,,,
112,054,74,16373,238,123,115,0,64,243,430,307,0.5168067226890757,0.28604651162790695,0.36826347305389223,0.22568807339449543,0.4831932773109244,43.203250885009766,42.0,25.169565200805664,26.0,35.484375,36.5,28.904586791992188,27.212650299072266,23.056352615356445,20.949121475219727
113,038,76,15782,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
114,116,42,16375,0,0,0,0,1,0,1,1,,0.0,0.0,0.0,,,,,,44.0,44.0,,,,
115,013,28,16321,548,164,346,38,104,46,314,150,0.29927007299270075,0.5222929936305732,0.3805104408352668,0.2349570200573066,0.6313868613138686,44.643802642822266,44.25,28.397878646850586,28.5,35.794071197509766,31.0,12.264908790588379,12.525370121002197,11.243535041809082,10.822834014892578
116,054,76,16357,397,60,337,0,71,396,527,467,0.15113350125944586,0.11385199240986717,0.12987012987012986,0.06944444444444445,0.8488664987405542,54.474998474121094,47.0,29.762611389160156,30.0,31.373239517211914,33.0,20.332868576049805,17.414597511291504,16.6989688873291,15.778192520141602
117,054,67,16378,287,117,170,0,99,352,568,451,0.4076655052264808,0.20598591549295775,0.2736842105263158,0.15853658536585366,0.5923344947735192,46.35470199584961,41.0,29.438236236572266,31.0,31.83333396911621,33.0,24.293228149414062,24.6270751953125,19.561357498168945,19.030482292175293
118,106,50,16378,41,41,0,0,20,1,62,21,1.0,0.6612903225806451,0.7961165048543689,0.6612903225806451,0.0,51.95121765136719,52.0,,,30.25,34.0,29.335731506347656,27.4153995513916,,
119,054,63,16381,494,83,411,0,40,122,245,162,0.1680161943319838,0.33877551020408164,0.22462787550744248,0.12652439024390244,0.8319838056680162,52.76506042480469,43.0,29.076642990112305,29.0,31.262500762939453,31.0,15.014472961425781,12.717307090759277,15.349183082580566,13.707069396972656
120,037,23,16381,0,0,0,0,4,9,13,13,,0.0,0.0,0.0,,,,,,2.25,2.5,,,,
121,013,36,16378,427,148,265,14,106,3,257,109,0.34660421545667447,0.5758754863813229,0.4327485380116959,0.27611940298507465,0.6206088992974239,45.541099548339844,41.25,29.44371223449707,29.33333396911621,37.77122497558594,31.75,11.266469955444336,11.42698335647583,10.660008430480957,9.97866153717041
122,106,59,16383,229,217,12,0,53,0,270,53,0.9475982532751092,0.8037037037037037,0.8697394789579158,0.7695035460992907,0.05240174672489083,40.7365608215332,41.5,27.66666603088379,26.41666603088379,30.232702255249023,29.0,11.969117164611816,10.838294982910156,10.783660888671875,9.415702819824219
123,013,67,16175,463,221,225,17,115,17,353,132,0.4773218142548596,0.6260623229461756,0.5416666666666666,0.37142857142857144,0.48596112311015116,46.34124755859375,45.0,33.52000045776367,31.0,42.35652160644531,34.0,17.329580307006836,13.757644653320312,17.44200325012207,16.564865112304688
124,116,14,16377,181,134,47,0,59,6,199,65,0.7403314917127072,0.6733668341708543,0.7052631578947368,0.5447154471544715,0.2596685082872928,42.60883331298828,40.0,29.32978630065918,30.0,34.19773864746094,28.0,11.910290718078613,11.886959552764893,14.8421049118042,15.648467063903809
125,124,70,16376,208,196,12,0,190,0,386,190,0.9423076923076923,0.5077720207253886,0.6599326599326599,0.49246231155778897,0.057692307692307696,65.07551574707031,69.0,33.5,32.0,36.647193908691406,32.0,13.042318344116211,11.549396991729736,15.960278511047363,15.150115013122559
126,116,64,16368,38,35,3,0,54,0,89,54,0.9210526315789473,0.39325842696629215,0.5511811023622047,0.3804347826086957,0.07894736842105263,57.97142791748047,68.0,34.0,34.0,40.314815521240234,33.0,14.807821273803711,14.900897979736328,16.23566436767578,16.230680465698242
127,013,35,16313,442,122,277,43,71,7,200,78,0.27601809954751133,0.61,0.38006230529595014,0.23461538461538461,0.6266968325791855,47.185794830322266,41.5,28.976533889770508,29.0,38.75234603881836,31.0,11.354044914245605,11.84711742401123,10.87743091583252,10.83112907409668
128,054,54,16380,86,59,27,0,51,85,195,136,0.686046511627907,0.30256410256410254,0.4199288256227758,0.26576576576576577,0.313953488372093,31.084745407104492,31.0,5.592592716217041,4.0,18.647058486938477,16.0,42.83425521850586,40.208160400390625,63.58443069458008,58.71559524536133
129,116,39,16358,360,127,233,0,77,34,238,111,0.3527777777777778,0.5336134453781513,0.42474916387959866,0.26963906581740976,0.6472222222222223,45.59973907470703,45.0,22.957080841064453,26.0,31.759740829467773,33.0,17.350093841552734,17.359172821044922,20.25766944885254,19.410078048706055
130,037,51,16363,0,0,0,0,1,0,1,1,,0.0,0.0,0.0,,,,,,20.0,20.0,,,,
131,037,8,16379,0,0,0,0,0,7,7,7,,0.0,0.0,0.0,,,,,,,,,,,
132,124,72,16379,242,239,3,0,182,0,421,182,0.987603305785124,0.5676959619952494,0.7209653092006033,0.5636792452830188,0.012396694214876033,53.18486785888672,62.0,33.66666793823242,35.0,31.430936813354492,31.0,11.49061393737793,9.745595932006836,15.690528869628906,15.024543762207031
133,054,31,16380,0,0,0,0,0,1,1,1,,0.0,0.0,0.0,,,,,,,,,,,
134,038,66,16356,0,0,0,0,0,1,1,1,,0.0,0.0,0.0,,,,,,,,,,,
135,034,9,16379,0,0,0,0,8,0,8,8,,0.0,0.0,0.0,,,,,,46.6875,47.0,,,,
136,013,19,16377,180,72,105,3,86,1,159,87,0.4,0.4528301886792453,0.4247787610619469,0.2696629213483146,0.5833333333333334,53.31296920776367,43.5,28.047618865966797,28.5,37.77403259277344,35.0,10.994376182556152,9.870798110961914,10.906254768371582,10.485495567321777
137,123,18,16366,476,139,337,0,165,22,326,187,0.2920168067226891,0.4263803680981595,0.34663341645885287,0.2096530920060332,0.707983193277311,44.471221923828125,37.0,29.037588119506836,30.0,40.48181915283203,36.0,22.38406753540039,23.096731185913086,18.41638946533203,17.07977294921875
138,123,76,16338,172,137,35,0,195,0,332,195,0.7965116279069767,0.4126506024096386,0.5436507936507936,0.37329700272479566,0.20348837209302326,56.38685989379883,54.0,31.014286041259766,31.0,41.087181091308594,33.5,15.64370059967041,14.548604011535645,16.576974868774414,15.059371948242188
139,037,4,16377,0,0,0,0,1,8,9,9,,0.0,0.0,0.0,,,,,,4.0,4.0,,,,
140,106,43,16383,83,67,16,0,20,1,88,21,0.8072289156626506,0.7613636363636364,0.783625730994152,0.6442307692307693,0.1927710843373494,37.17910385131836,36.5,29.875,30.5,31.575000762939453,30.0,13.707742691040039,13.62197494506836,13.82125473022461,14.194823265075684
