step,seq_id,frame_idx,active_points,true_lane,lane_tp,lane_to_road,lane_to_other,road_to_lane,other_to_lane,lane_recall,lane_to_road_rate,lane_tp_intensity_mean,lane_to_road_intensity_mean,lane_tp_range_mean,lane_to_road_range_mean
1,123,79,16343,213,167,46,0,231,0,0.784037558685446,0.215962441314554,59.035926818847656,30.0108699798584,14.25534725189209,15.463128089904785
2,124,28,16368,81,81,0,0,95,0,1.0,0.0,62.438270568847656,,14.98804759979248,
3,123,73,16369,50,21,24,5,84,20,0.42,0.48,50.71428680419922,8.541666984558105,27.828657150268555,49.24444580078125
4,054,73,16371,304,80,224,0,119,447,0.2631578947368421,0.7368421052631579,46.28125,29.35714340209961,24.74974250793457,18.48227882385254
5,013,68,16152,428,225,202,1,131,25,0.5257009345794392,0.4719626168224299,45.81296157836914,34.12211227416992,16.23014259338379,16.7502384185791
6,054,20,16369,0,0,0,0,0,0,,,,,,
7,037,72,16314,0,0,0,0,0,0,,,,,,
8,038,37,16381,0,0,0,0,0,0,,,,,,
9,037,46,16384,0,0,0,0,0,38,,,,,,
10,124,77,16375,287,220,45,22,230,4,0.7665505226480837,0.156794425087108,42.72954559326172,32.13333511352539,25.840106964111328,19.514036178588867
11,124,34,16383,453,218,235,0,74,5,0.48123620309050774,0.5187637969094923,51.6080322265625,29.276596069335938,11.320719718933105,13.237001419067383
12,123,11,16363,275,133,142,0,167,9,0.48363636363636364,0.5163636363636364,35.699249267578125,14.820422172546387,29.130796432495117,36.43362808227539
13,034,16,16377,0,0,0,0,1,0,,,,,,
14,106,44,16383,118,84,34,0,24,3,0.711864406779661,0.288135593220339,37.37599182128906,29.132352828979492,12.532346725463867,12.1867036819458
15,123,7,16373,73,71,2,0,117,0,0.9726027397260274,0.0273972602739726,58.41549301147461,35.5,17.224964141845703,17.119983673095703
16,034,55,16372,0,0,0,0,18,0,,,,,,
17,013,29,16353,95,63,19,13,51,29,0.6631578947368421,0.2,51.380950927734375,15.473684310913086,37.04219055175781,55.13451385498047
18,037,41,16384,0,0,0,0,0,8,,,,,,
19,106,5,16364,75,49,18,8,35,0,0.6533333333333333,0.24,48.020408630371094,12.44444465637207,26.762104034423828,35.087890625
20,116,20,16313,336,141,195,0,84,0,0.41964285714285715,0.5803571428571429,44.534873962402344,27.63846206665039,13.121681213378906,17.770971298217773
21,123,61,16373,55,33,11,11,58,32,0.6,0.2,47.75757598876953,10.909090995788574,31.460275650024414,45.05353927612305
22,116,4,16368,0,0,0,0,0,0,,,,,,
23,013,15,16239,239,149,74,16,81,15,0.6234309623430963,0.30962343096234307,49.013423919677734,34.41216278076172,31.943641662597656,26.734050750732422
24,054,17,16384,0,0,0,0,0,0,,,,,,
25,054,30,16302,28,1,27,0,158,778,0.03571428571428571,0.9642857142857143,36.0,28.370370864868164,18.87941551208496,14.10715389251709
26,034,66,16379,0,0,0,0,0,0,,,,,,
27,038,40,16375,0,0,0,0,0,0,,,,,,
28,038,11,16374,0,0,0,0,9,24,,,,,,
29,124,60,16372,278,175,103,0,95,1,0.6294964028776978,0.37050359712230213,36.03428649902344,21.766990661621094,28.722410202026367,30.990995407104492
30,038,5,16383,0,0,0,0,0,0,,,,,,
31,106,69,16381,0,0,0,0,0,5,,,,,,
32,123,2,16358,393,108,281,4,73,0,0.2748091603053435,0.7150127226463104,62.367286682128906,29.443950653076172,13.999225616455078,13.93779182434082
33,034,31,16379,0,0,0,0,0,0,,,,,,
34,037,24,16382,0,0,0,0,3,0,,,,,,
35,038,46,15971,0,0,0,0,0,0,,,,,,
36,038,67,15914,0,0,0,0,0,0,,,,,,
37,037,67,16365,0,0,0,0,3,0,,,,,,
38,123,22,16370,102,85,17,0,142,0,0.8333333333333334,0.16666666666666666,54.141178131103516,32.764705657958984,15.286628723144531,15.52907943725586
39,106,22,16379,50,27,22,1,21,4,0.54,0.44,55.25925827026367,20.045454025268555,37.379581451416016,38.662776947021484
40,116,28,16382,172,149,23,0,56,0,0.8662790697674418,0.13372093023255813,43.68344497680664,28.101451873779297,9.4716215133667,10.659697532653809
41,123,51,16360,317,98,219,0,246,118,0.30914826498422715,0.6908517350157729,64.29081726074219,30.372905731201172,15.156811714172363,16.166439056396484
42,013,29,16328,581,178,365,38,152,48,0.306368330464716,0.6282271944922547,45.331459045410156,29.262786865234375,11.994437217712402,11.23206615447998
