group,count,rgb_valid_ratio,R_mean,G_mean,B_mean,brightness_mean,luminance_mean,warmth_mean,R_median,G_median,B_median,brightness_median_approx,warmth_median,max_rgb_median_approx,min_rgb_median_approx,saturation_proxy_median_approx,intensity_mean,intensity_median
road_tp,27521255,0.9088198672872718,0.3845157334559927,0.3932924036942968,0.4028312300340955,0.3935464557281283,0.3917556054957809,-0.018315496578102775,0.3779100179672241,0.3867372870445251,0.4120089411735534,0.39221874872843426,-0.03409892320632929,0.4120089411735534,0.3779100179672241,0.03409892320632929,27.924749729523743,29.0
road_to_marking,532367,0.8028538896425628,0.4192631055593665,0.4140872460308958,0.3886384815902623,0.4073296110601749,0.41273366888367635,0.030624623969104203,0.490103006362915,0.4904460310935974,0.452263206243515,0.47760408123334247,0.03783980011939997,0.4904460310935974,0.452263206243515,0.0381828248500824,31.90529225894024,30.0
marking_tp,916369,0.7902208789988991,0.3879465846486091,0.3842988973436012,0.365328560426818,0.37919134747300937,0.38322693743928526,0.0226180242217911,0.4190588593482971,0.3964612483978271,0.3553305566310882,0.3902835547924042,0.06372830271720892,0.4190588593482971,0.3553305566310882,0.06372830271720892,38.65112964818966,34.0
marking_to_road,229626,0.7612610650950767,0.3211391503703765,0.3277642050110354,0.3337205183052324,0.3275412912288814,0.3264623333890168,-0.012581367934855925,0.2892909348011017,0.3075370192527771,0.3415350317955017,0.3127876619497935,-0.052244096994400024,0.3415350317955017,0.2892909348011017,0.052244096994400024,25.246526120511884,28.0
other_to_marking,13531,0.812319858103614,0.2881764256608837,0.2912779731937394,0.292293474768669,0.29058262454109735,0.29046637766095745,-0.00411704910778532,0.2789413034915924,0.2919156551361084,0.3074946701526642,0.29278387626012164,-0.028553366661071777,0.3074946701526642,0.2789413034915924,0.028553366661071777,24.27401768533065,29.0
