bucket,active_points,true_marking,predicted_marking,marking_tp,marking_fp,marking_fn,marking_iou,marking_precision,marking_recall,marking_f1,predicted_true_marking_ratio,road_to_marking,marking_to_road,other_to_marking
0_10m,5094729,107327,129371,93108,36263,14219,0.6484295563757921,0.7196976138392684,0.867517027402238,0.7867240111872512,1.2053910013323768,35318,13405,945
10_20m,30802354,647702,871168,533681,337487,114021,0.5417041806191503,0.6126039983103144,0.8239607103266625,0.7027342695556565,1.345013601934223,333673,113192,3814
20_30m,18608666,254140,316173,196935,119238,57205,0.5274413596944652,0.6228710231423935,0.7749075312819705,0.690620764387275,1.2440898717242466,115530,56488,3708
30_40m,7891141,87841,91349,60207,31142,27634,0.506013464108318,0.6590876747419239,0.6854088637424437,0.6719906244768123,1.0399357930806798,30258,27137,884
40_60m,5954943,43638,42258,26691,15567,16947,0.4508234101849506,0.6316200482748828,0.611645813282002,0.6214724783459067,0.968376185893029,13516,16202,2051
60m_plus,2257772,10290,11948,5747,6201,4543,0.3484931174580074,0.48100100435219284,0.5585034013605442,0.516863027250652,1.1611273080660836,4072,3202,2129
