raw_id,raw_name,stratum,active_points,true_marking,predicted_marking,marking_tp,marking_fp,marking_fn,marking_iou,marking_precision,marking_recall,marking_f1,predicted_true_marking_ratio,road_to_marking,marking_to_road,other_to_marking
8,lane_line_marking,all,593056,593056,481019,481019,0,112037,0.8110852938002482,1.0,0.8110852938002482,0.8956897795777762,0.8110852938002482,0,110697,0
8,lane_line_marking,rgb_invalid,81857,81857,60427,60427,0,21430,0.7382019863909012,1.0,0.7382019863909012,0.8493857355711113,0.7382019863909012,0,21253,0
8,lane_line_marking,rgb_valid,511199,511199,420592,420592,0,90607,0.8227559130592978,1.0,0.8227559130592978,0.9027603829614151,0.8227559130592978,0,89444,0
9,stop_line_marking,all,5816,5816,5421,5421,0,395,0.9320839064649243,1.0,0.9320839064649243,0.9648482691109727,0.9320839064649243,0,349,0
9,stop_line_marking,rgb_invalid,3081,3081,2973,2973,0,108,0.9649464459591042,1.0,0.9649464459591042,0.9821605550049554,0.9649464459591042,0,88,0
9,stop_line_marking,rgb_valid,2735,2735,2448,2448,0,287,0.8950639853747715,1.0,0.8950639853747715,0.944626664094154,0.8950639853747715,0,261,0
10,other_road_marking,all,552066,552066,429929,429929,0,122137,0.7787637709983951,1.0,0.7787637709983951,0.8756236029715019,0.7787637709983951,0,118580,0
10,other_road_marking,rgb_invalid,164035,164035,128984,128984,0,35051,0.786319992684488,1.0,0.786319992684488,0.8803797705950809,0.786319992684488,0,33514,0
10,other_road_marking,rgb_valid,388031,388031,300945,300945,0,87086,0.7755694776963696,1.0,0.7755694776963696,0.8736008220895939,0.7755694776963696,0,85066,0
