seq_id,active_points,true_marking,predicted_marking,marking_tp,marking_fp,marking_fn,marking_iou,marking_precision,marking_recall,marking_f1,predicted_true_marking_ratio,road_to_marking,marking_to_road,other_to_marking
013,7824213,138355,169936,103599,66337,34756,0.5061213921403865,0.6096353921476321,0.7487911531928734,0.6720857890759055,1.2282606338766218,59743,33938,6594
034,7861171,2363,4622,1827,2795,536,0.35420705699883676,0.39528342708784076,0.7731696995344901,0.5231209735146743,1.9559881506559458,2251,407,544
037,7858884,227223,222751,171995,50756,55228,0.6187337892430723,0.7721401924121553,0.756943619263895,0.7644663913915026,0.9803188937739578,50495,55166,261
038,7795979,9746,8839,6247,2592,3499,0.5063219322418544,0.7067541577101482,0.640980915247281,0.6722625773473231,0.9069361789452083,2148,3446,444
054,7859842,294306,328432,237832,90600,56474,0.6178963175424649,0.724143810590929,0.8081112855327448,0.7638268421069535,1.115954142966844,88314,55831,2286
106,7855393,40657,48793,37062,11731,3595,0.707452088264488,0.7595761687127252,0.9115773421551024,0.8286640581330352,1.2001131416484245,11055,3485,676
116,7843701,135867,103921,77079,26842,58788,0.4737230269991211,0.7417076433059728,0.5673121508534081,0.6428928887183679,0.7648730008022552,26128,56439,714
123,7853739,194671,336607,159269,177338,35402,0.42813211508323723,0.47316009470985454,0.8181444591130677,0.5995693403453559,1.7291070575483765,176438,34899,900
124,7856683,107750,194118,100333,93785,7417,0.4978440469397375,0.5168660299405516,0.9311647331786543,0.6647475055322194,1.8015591647331786,90887,7248,2898
