bucket,active_points,true_marking,predicted_marking,marking_tp,marking_fp,marking_fn,marking_iou,marking_precision,marking_recall,marking_f1,predicted_true_marking_ratio,road_to_marking,marking_to_road,other_to_marking
0_10m,5094729,107327,144417,97272,47145,10055,0.6297063545496918,0.6735495128689836,0.9063143477410158,0.7727850514808694,1.3455793975420909,45921,9954,1224
10_20m,30802354,647702,829483,515927,313556,131775,0.5367206306735549,0.6219862251547048,0.7965499566158512,0.6985272663884348,1.280655301357723,309172,130398,4384
20_30m,18608666,254140,302583,191668,110915,62472,0.5250386927997152,0.6334394199277553,0.7541827339261824,0.6885578645035323,1.190615408829779,106944,61525,3971
30_40m,7891141,87841,88076,58749,29327,29092,0.5014082343301925,0.667026204641446,0.6688106920458555,0.6679172564334317,1.0026752883050056,28565,28502,762
40_60m,5954943,43638,41696,26396,15300,17242,0.44786046353795517,0.6330583269378358,0.6048856501214538,0.6186514167858064,0.9554975021770017,13080,16620,2220
60m_plus,2257772,10290,11764,5231,6533,5059,0.31094335136420376,0.444661679700782,0.508357628765792,0.4743810646594722,1.143245869776482,3777,3860,2756
