PWA-ACO Hybrid  —  run summary
========================================
Dataset   : pr439
Cities    : 439
Elapsed   : 74.5s

PWA best  : 1405.761163
Hybrid    : 1251.554632
Improvement: +10.970%

ACO convergence history (best per iteration):
  iter    1: 1321.425810
  iter    2: 1321.425810
  iter    3: 1321.425810
  iter    4: 1321.425810
  iter    5: 1321.425810
  iter    6: 1321.425810
  iter    7: 1321.425810
  iter    8: 1321.425810
  iter    9: 1321.425810
  iter   10: 1321.425810
  iter   11: 1321.425810
  iter   12: 1321.425810
  iter   13: 1321.425810
  iter   14: 1321.425810
  iter   15: 1321.425810
  iter   16: 1310.280018
  iter   17: 1310.280018
  iter   18: 1295.962462
  iter   19: 1295.962462
  iter   20: 1295.962462
  iter   21: 1295.962462
  iter   22: 1295.962462
  iter   23: 1295.962462
  iter   24: 1295.962462
  iter   25: 1295.962462
  iter   26: 1295.962462
  iter   27: 1295.962462
  iter   28: 1295.962462
  iter   29: 1295.962462
  iter   30: 1295.962462
  iter   31: 1295.962462
  iter   32: 1295.962462
  iter   33: 1295.962462
  iter   34: 1295.962462
  iter   35: 1295.962462
  iter   36: 1295.962462
  iter   37: 1295.962462
  iter   38: 1295.962462
  iter   39: 1295.962462
  iter   40: 1295.962462
  iter   41: 1295.962462
  iter   42: 1295.962462
  iter   43: 1295.962462
  iter   44: 1295.962462
  iter   45: 1295.962462
  iter   46: 1295.962462
  iter   47: 1295.962462
  iter   48: 1295.962462
  iter   49: 1295.962462
  iter   50: 1295.962462
  iter   51: 1295.962462
  iter   52: 1295.962462
  iter   53: 1295.962462
  iter   54: 1295.962462
  iter   55: 1295.962462
  iter   56: 1295.962462
  iter   57: 1295.962462
  iter   58: 1295.962462
  iter   59: 1295.962462
  iter   60: 1295.962462
  iter   61: 1295.962462
  iter   62: 1295.962462
  iter   63: 1295.962462
  iter   64: 1295.962462
  iter   65: 1295.962462
  iter   66: 1295.962462
  iter   67: 1295.962462
  iter   68: 1295.962462
  iter   69: 1271.383025
  iter   70: 1271.383025
  iter   71: 1271.383025
  iter   72: 1271.383025
  iter   73: 1271.383025
  iter   74: 1271.383025
  iter   75: 1271.383025
  iter   76: 1271.383025
  iter   77: 1271.383025
  iter   78: 1271.383025
  iter   79: 1271.383025
  iter   80: 1271.383025

Best tour:
