bucket,active_points,true_marking,predicted_marking,marking_tp,marking_fp,marking_fn,marking_iou,marking_precision,marking_recall,marking_f1,predicted_true_marking_ratio,road_to_marking,marking_to_road,other_to_marking
0_10m,5094729,107327,182771,100104,82667,7223,0.5268797962040906,0.5477017688801834,0.9327009978849684,0.6901391943412226,1.7029358875213134,77054,7181,5613
10_20m,30802354,647702,1186965,567464,619501,80238,0.44780828328215766,0.4780798085874478,0.8761189559396142,0.6186016317947617,1.832578871147534,596640,79848,22861
20_30m,18608666,254140,497867,217373,280494,36767,0.40658282114493277,0.4366085721688724,0.8553277720941214,0.5781142994679571,1.9590265208152986,264340,36412,16154
30_40m,7891141,87841,141517,67376,74141,20465,0.4159474509513403,0.4760982779454059,0.7670222333534454,0.5875182029839814,1.6110586172743935,70015,20069,4126
40_60m,5954943,43638,78212,32162,46050,11476,0.3585986977076086,0.4112156702296323,0.7370181951510152,0.527894952810833,1.7922911224162428,36709,10689,9341
60m_plus,2257772,10290,24850,7650,17200,2640,0.2782830120043652,0.30784708249496984,0.7434402332361516,0.43540125213431985,2.4149659863945576,10431,1322,6769
