PWA-ACO Hybrid  —  run summary
========================================
Dataset   : pr107
Cities    : 107
Elapsed   : 1.9s

PWA best  : 511.499617
Hybrid    : 477.519773
Improvement: +6.643%

ACO convergence history (best per iteration):
  iter    1: 477.519773
  iter    2: 477.519773
  iter    3: 477.519773
  iter    4: 477.519773
  iter    5: 477.519773
  iter    6: 477.519773
  iter    7: 477.519773
  iter    8: 477.519773
  iter    9: 477.519773
  iter   10: 477.519773
  iter   11: 477.519773
  iter   12: 477.519773
  iter   13: 477.519773
  iter   14: 477.519773
  iter   15: 477.519773
  iter   16: 477.519773
  iter   17: 477.519773
  iter   18: 477.519773
  iter   19: 477.519773
  iter   20: 477.519773
  iter   21: 477.519773
  iter   22: 477.519773
  iter   23: 477.519773
  iter   24: 477.519773
  iter   25: 477.519773
  iter   26: 477.519773
  iter   27: 477.519773
  iter   28: 477.519773
  iter   29: 477.519773
  iter   30: 477.519773
  iter   31: 477.519773
  iter   32: 477.519773
  iter   33: 477.519773
  iter   34: 477.519773
  iter   35: 477.519773
  iter   36: 477.519773
  iter   37: 477.519773
  iter   38: 477.519773
  iter   39: 477.519773
  iter   40: 477.519773
  iter   41: 477.519773
  iter   42: 477.519773
  iter   43: 477.519773
  iter   44: 477.519773
  iter   45: 477.519773
  iter   46: 477.519773
  iter   47: 477.519773
  iter   48: 477.519773
  iter   49: 477.519773
  iter   50: 477.519773
  iter   51: 477.519773
  iter   52: 477.519773
  iter   53: 477.519773
  iter   54: 477.519773
  iter   55: 477.519773
  iter   56: 477.519773
  iter   57: 477.519773
  iter   58: 477.519773
  iter   59: 477.519773
  iter   60: 477.519773
  iter   61: 477.519773
  iter   62: 477.519773
  iter   63: 477.519773
  iter   64: 477.519773
  iter   65: 477.519773
  iter   66: 477.519773
  iter   67: 477.519773
  iter   68: 477.519773
  iter   69: 477.519773
  iter   70: 477.519773
  iter   71: 477.519773
  iter   72: 477.519773
  iter   73: 477.519773
  iter   74: 477.519773
  iter   75: 477.519773
  iter   76: 477.519773
  iter   77: 477.519773
  iter   78: 477.519773
  iter   79: 477.519773
  iter   80: 477.519773

Best tour:
88 -> 86 -> 87 -> 84 -> 83 -> 58 -> 85 -> 59 -> 80 -> 81 -> 82 -> 79 -> 78 -> 60 -> 73 -> 75 -> 76 -> 77 -> 74 -> 70 -> 71 -> 68 -> 64 -> 67 -> 66 -> 65 -> 63 -> 62 -> 69 -> 72 -> 61 -> 4 -> 1 -> 0 -> 3 -> 2 -> 5 -> 6 -> 8 -> 9 -> 7 -> 11 -> 10 -> 13 -> 16 -> 17 -> 14 -> 12 -> 15 -> 18 -> 19 -> 22 -> 23 -> 20 -> 21 -> 24 -> 27 -> 26 -> 29 -> 25 -> 28 -> 31 -> 34 -> 35 -> 33 -> 30 -> 32 -> 36 -> 39 -> 38 -> 41 -> 37 -> 40 -> 43 -> 46 -> 47 -> 44 -> 42 -> 45 -> 51 -> 50 -> 48 -> 53 -> 52 -> 49 -> 98 -> 100 -> 55 -> 103 -> 54 -> 105 -> 106 -> 104 -> 101 -> 102 -> 99 -> 97 -> 94 -> 96 -> 95 -> 56 -> 93 -> 57 -> 90 -> 92 -> 89 -> 91
