bucket,active_points,true_marking,predicted_marking,marking_tp,marking_fp,marking_fn,marking_iou,marking_precision,marking_recall,marking_f1,predicted_true_marking_ratio,road_to_marking,marking_to_road,other_to_marking
0_10m,5094729,107327,128404,92800,35604,14527,0.6492643303412136,0.7227189184137566,0.8646472928526838,0.7873381099643237,1.1963811529251727,34665,14159,939
10_20m,30802354,647702,814735,500755,313980,146947,0.5207074687890592,0.6146231596776867,0.7731256040586566,0.684822662446314,1.2578855708335006,307057,144189,6923
20_30m,18608666,254140,296580,186918,109662,67222,0.5137904684416248,0.6302447906129881,0.7354922483670417,0.6788131900058105,1.1669945699220903,106264,65654,3398
30_40m,7891141,87841,83930,56769,27161,31072,0.49363489330620336,0.6763850828071012,0.646269965050489,0.6609846830955167,0.9554763720813743,26679,30111,482
40_60m,5954943,43638,36072,23711,12361,19927,0.42341827532634513,0.6573242404080727,0.5433567074568038,0.594931627148413,0.826619001787433,11615,17927,746
60m_plus,2257772,10290,9032,4290,4742,6000,0.285391165513571,0.474977856510186,0.41690962099125367,0.44405341062001863,0.8777453838678329,3466,3509,1276
