epoch,train_ce_loss,train_lovasz_loss,train_total_loss,val_ce_loss,val_lovasz_loss,val_total_loss
1,0.31879739644294924,0.332101120154277,0.48484795745301607,0.2651280174600995,0.27919459802409013,0.40472531743968526
2,0.20209681198546856,0.2675636689234846,0.33587864603494005,0.6416964861564338,0.3316255616231097,0.807509264939775
3,0.1749109010818286,0.2495647568841754,0.2996932795624538,0.1896335822581831,0.2506457736819155,0.3149564695596281
4,0.15747515384894636,0.23602907487817493,0.27548969139682195,0.1454937252164301,0.23281355391566952,0.26190050260370806
5,0.13938886602931047,0.22325978602668078,0.25101875876526125,0.16629372872929607,0.2177320764115494,0.2751597672649142
6,0.13092867372043687,0.21638177624815305,0.23911956195350223,0.13021273960411134,0.2168695168905995,0.23864749781269995
7,0.12701771143334115,0.21285501897078135,0.23344522090869602,0.1321263291536727,0.21214746651757094,0.23820006238400107
8,0.12028994999689467,0.20907144824339977,0.2248256740890893,0.128772288090032,0.21496857015105586,0.23625657327421423
9,0.11565594065247971,0.20565040542398869,0.21848114358927606,0.1160818076847742,0.22743036824847676,0.2297969924751669
10,0.11109747757436708,0.20230939467638281,0.21225217483166992,0.1284147189813666,0.20089556893799454,0.22886250408935463
11,0.10872888280167084,0.1989136468181547,0.20818570613547968,0.1269047082337137,0.20294897383751553,0.22837919526371278
12,0.10582048239724325,0.19637768951080065,0.2040093273719259,0.10936307857692655,0.21411688559326447,0.2164215210825205
13,0.10430013850323278,0.19531355875801168,0.20195691791114173,0.1331539060221985,0.19302073709097586,0.22966427478111454
14,0.1027521086808551,0.19319710310484314,0.19935066009478258,0.11997078350719272,0.1893019944274177,0.21462178158108144
15,0.09956188693437885,0.19070512081801505,0.19491444729140092,0.113004486151557,0.20347163275194666,0.2147403023774839
16,0.09968084266513651,0.1905466476744362,0.19495416666252602,0.10926683406190325,0.2006521160248667,0.20959289230199324
17,0.09719185725211744,0.18733827042200699,0.19086099235734355,0.11602409699310859,0.19725354556252972,0.21465087015595702
18,0.09464069335753547,0.18723063666538078,0.1882560118635442,0.11768989460284097,0.19561675169453438,0.21549827085497478
19,0.09315240102808055,0.18586406775284559,0.18608443483967205,0.1187465809389121,0.20537753230892122,0.22143534743227064
20,0.09189698368286843,0.18347299584540827,0.18363348161801696,0.12440187346785225,0.2060445851387663,0.22742416595315768
21,0.09310567509101961,0.18329268007715843,0.1847520151155487,0.10995911188527113,0.1951384985108032,0.20752836090978236
22,0.0886675940374924,0.17872243221580245,0.17802881018363004,0.11059632222038797,0.20536274505882626,0.21327769488044496
23,0.0841351254688624,0.1758706807341539,0.1720704660072505,0.11363608569372445,0.1954273495124653,0.2113497601666798
24,0.083148517462441,0.17503679901188848,0.17066691680731058,0.10590794337395992,0.19149396403744404,0.2016549253137782
25,0.08210428770960726,0.17326993084179462,0.16873925311073404,0.10944610433652997,0.18901866037502058,0.20395543449299616
26,0.08119185738895762,0.17162457286934207,0.16700414374133507,0.11002659403408567,0.1889134766210595,0.2044833324694385
27,0.08110918587210171,0.172503526928104,0.16736094940469826,0.1215171666815877,0.1886636059782985,0.21584896944566734
28,0.0824433005169026,0.17208931775641195,0.16848795948578205,0.10894302814526277,0.18816876890810413,0.20302741319044595
29,0.07956412453706184,0.17077102826562998,0.1649496386383644,0.1106953515451298,0.19133876821854048,0.20636473521331533
30,0.07968944113777854,0.17148474964076363,0.16543181608270469,0.11396990425419062,0.18581313030639043,0.20687646963116196
31,0.07819417116637663,0.16833060335042757,0.1623594727770602,0.10577681373365017,0.19216302536014054,0.20185832583035032
32,0.07878843264268903,0.1698841075151998,0.16373048652734223,0.11066447109527265,0.1872020446152116,0.20426549360337148
33,0.08047133759326494,0.17172118868108774,0.16633193196271193,0.12132646967139508,0.1878462220231692,0.21524958049154116
34,0.07708688593581961,0.16695896478566533,0.16056636841586341,0.11127658318081457,0.19011904990507497,0.20633610809066644
35,0.0774113194665727,0.1684908862823845,0.16165676242531404,0.11038222834597239,0.18617160078914216,0.20346802968738809
36,0.07471271197287495,0.1655831082336653,0.1575042662929326,0.11141554226503811,0.18487741132008118,0.2038542472058907
37,0.07447750551238705,0.1650706327359738,0.1570128219304526,0.11808206514041457,0.18011798492581066,0.20814105722561685
38,0.07424290192690838,0.1641943887323703,0.15634009627512946,0.11309679887490347,0.18645347999667541,0.2063235386223015
39,0.0739526858487054,0.16383513930586874,0.15587025551599099,0.11108999923388992,0.18788251438592043,0.20503125690544646
40,0.0736113344840023,0.16419178170196166,0.15570722548391444,0.11089136466875466,0.18847721407526277,0.20512997195538546
41,0.07350722786845992,0.16507219930725364,0.15604332749338434,0.10675326940318984,0.1863039230953695,0.19990523143464492
42,0.07255484161814194,0.1625161754200235,0.15381292936287755,0.11757489579160595,0.1869861462412195,0.2110679685474477
43,0.07269458027259479,0.16168951329018455,0.15353933677302095,0.106468854060707,0.18144077519730975,0.19718924165548135
44,0.07073118806754415,0.16053479194323983,0.15099858402511393,0.11711839098845506,0.1845781985256407,0.20940749023704686
45,0.07089712613097648,0.1615685575143916,0.1516814049012188,0.11636801236826512,0.1844634771683357,0.20859975086835522
46,0.07091576654146875,0.16167419129773847,0.1517528623306385,0.11364532179690691,0.18306191632420651,0.20517627992925958
47,0.07060540439300078,0.16101142399852036,0.15111111637108543,0.11442609101197579,0.18456163824561778,0.2067069106683549
48,0.07123265211030858,0.15989918326437152,0.1511822436464517,0.1124840664017635,0.183230181337179,0.20409915685498467
49,0.07044235703932795,0.16031805565921942,0.15060138471328235,0.11084635943924594,0.18745833999063405,0.2045755295807289
50,0.07053668264556548,0.16169298813750582,0.15138317680504204,0.11312637622856224,0.179581057082396,0.20291690506403232
51,0.06974648710436605,0.15934710969841348,0.14942004199898481,0.11685786743312039,0.1821805312233563,0.20794813303897777
52,0.06959242892616171,0.15946853844818243,0.14932669802159393,0.12006379660063733,0.1819765625676761,0.21105207827770048
53,0.06937882686706244,0.1591758664613108,0.14896676008898668,0.1108765594350795,0.18526641321885917,0.20350976589704967
54,0.06928052557953472,0.15915208395855535,0.14885656770744266,0.11457146030669618,0.18035391390634078,0.20474841731548724
55,0.06933299274623378,0.15891620825267605,0.14879109680869393,0.11310744867013353,0.18693468736148336,0.2065747925080359
56,0.0692083361893812,0.16022425706032664,0.14932046472496385,0.11369800824646113,0.18562292631767277,0.2065094711401293
57,0.06977198299036586,0.15956648618348168,0.1495552260587233,0.11430004115423395,0.1834006666852575,0.20600037492242537
58,0.06893939887422362,0.15925457939497548,0.1485666884536903,0.11297337044573699,0.18498476013903403,0.20546575068082246
59,0.06903836833180635,0.15822809210994507,0.1481524146081687,0.11538894549012184,0.18343000389739042,0.20710394807780783
60,0.0681459269390024,0.15848798320853505,0.14738991851998687,0.11521060653160223,0.1839767924716903,0.20719900253073623
61,0.0689845267701332,0.15826171788904847,0.14811538558710238,0.11230933535326686,0.18360753048909828,0.20411310027508686
62,0.06873485842119532,0.15773301572912243,0.14760136629318305,0.11499167971778661,0.1862370439662805,0.20811020190465368
63,0.06883746944056776,0.15824101873661456,0.1479579789084302,0.11664921679120097,0.18182213238906114,0.2075602828576747
64,0.06854901895647596,0.15749212285977435,0.14729508043503678,0.1164362671927342,0.18286935550212446,0.20787094507961432
65,0.06880828906854229,0.15758782649053468,0.1476022024093003,0.11491451635504038,0.18217930527817872,0.20600416927029275
66,0.0684683269728778,0.15813532283766485,0.14753598825933797,0.11306503360521876,0.18194651982695279,0.2040382935691418
67,0.06848564220086575,0.1585623808819319,0.14776683261473503,0.11605848875414167,0.17923261733699797,0.20567479711025954
68,0.0685370841750008,0.1586966294474129,0.14788539892500105,0.11423209225370859,0.18218594188543244,0.2053250628316568
69,0.06846515186379888,0.15749034917680546,0.14721032649676058,0.11241788650319601,0.18151545880828052,0.20317561609618778
70,0.06865826932360129,0.15789336634775752,0.14760495252136527,0.1129326881116463,0.18174640570844833,0.20380589078542674
71,0.0685576993814501,0.15736628214965157,0.14724084048548006,0.11224732870856921,0.1822857996914536,0.20339022897080414
