epoch,train_ce,train_lovasz_raw,train_lovasz_scaled,train_total,val_ce,val_lovasz_raw,val_lovasz_scaled,val_total,marking_iou,val_lovasz_share,train_lovasz_share
1,0.3185535185841908,0.33266994766891,0.166334973834455,0.4848884931026861,0.2609381122307645,0.283111166421117,0.1415555832105585,0.4024936959250934,0.3166935133535036,0.35169639833788324,0.343037577093482
2,0.2015593508113946,0.2674864789262285,0.13374323946311426,0.3353025903716555,0.2138796107688297,0.2667264545491586,0.1333632272745793,0.3472428386410077,0.3740109779943139,0.38406329068302275,0.39887326642741056
3,0.1712751260207934,0.2478820478740341,0.12394102393701704,0.2952161500696093,0.1981139065697789,0.2569710881966683,0.12848554409833415,0.3265994513355609,0.3681664677015087,0.39340404147318403,0.419831448610765
4,0.1545017120344082,0.2353241817961479,0.11766209089807395,0.2721638027522391,0.1479745707190078,0.2371911558736529,0.11859557793682644,0.2665701481306718,0.4287945303540514,0.4448944443647579,0.43232086599402103
5,0.1393761824146073,0.2236209908122967,0.11181049540614835,0.2511866776914946,0.1909202244701899,0.223282089526765,0.1116410447633825,0.3025612683630445,0.4313144259447113,0.3689865704470275,0.44512908261589046
6,0.1288496996480811,0.2153023668400268,0.1076511834200134,0.2365008830967969,0.1360250530363474,0.2106879618458657,0.10534398092293284,0.241369033876496,0.4747526066617326,0.43644364494923316,0.45518300824252356
7,0.1274846473584305,0.2132349886955565,0.10661749434777824,0.2341021415777504,0.1452409182985623,0.216275605543827,0.1081378027719135,0.253378721486984,0.4785996618577885,0.42678328368417673,0.45543152074227505
8,0.1175363528441862,0.2072420745076419,0.10362103725382095,0.2211573901923437,0.1357319009386831,0.2228203588113602,0.1114101794056801,0.2471420797079594,0.4505310657931108,0.45079405149187973,0.46853979043476807
9,0.1148544646831678,0.2051502352134838,0.1025751176067419,0.2174295821965768,0.1187808821236507,0.2253858864798935,0.11269294323994675,0.2314738249509698,0.4538928701750773,0.4868496179376527,0.471762473948942
10,0.1098335414615074,0.2015461625178055,0.10077308125890275,0.2106066227163958,0.1358982097900783,0.2092625216968978,0.1046312608484489,0.2405294713667697,0.4810463558730148,0.43500391138723554,0.4784896123357166
11,0.1084995279068544,0.1988218522185042,0.0994109261092521,0.207910454147977,0.1231381670727084,0.2004791983196304,0.1002395991598152,0.2233777660954122,0.4981530746674599,0.44874474712491963,0.4781429895703943
12,0.1063739136491645,0.1964343114463002,0.0982171557231501,0.2045910695587798,0.1169999402145751,0.2247418648278754,0.1123709324139377,0.2293708722469293,0.459243385564022,0.48990933902437583,0.48006570342960125
13,0.1037744777265069,0.1950898809248083,0.09754494046240415,0.2013194180595496,0.1218324910926943,0.1946522410131163,0.09732612050655814,0.2191586118708882,0.5158418076005116,0.44408987479759815,0.48452822585425265
14,0.102875278374694,0.1932249388838154,0.0966124694419077,0.1994877477923151,0.1182889395962572,0.1935807744558486,0.0967903872279243,0.2150793264594136,0.5085704547635514,0.450021807401322,0.48430277303290864
15,0.0980999739202349,0.1893910610687051,0.09469553053435255,0.1927955044541861,0.1147455282483456,0.2198414579732343,0.10992072898661714,0.2246662570370568,0.4788247623325099,0.48926229704573143,0.4911708434407764
16,0.1008318505994574,0.1912232725005918,0.0956116362502959,0.1964434865689515,0.1140910166393344,0.2182337901839572,0.1091168950919786,0.2232079116317133,0.467874386631518,0.48885764977729984,0.4867131912604101
17,0.0967020642704828,0.1873104090874629,0.09365520454373145,0.1903572688083935,0.1117446235458677,0.2035198916111969,0.10175994580559845,0.2135045696101669,0.4882209649909027,0.47661717962945527,0.4919969966474003
18,0.092615447720866,0.1858137266612049,0.09290686333060245,0.1855223111262352,0.1128719002681059,0.1925672224127791,0.09628361120638955,0.2091555114473319,0.523048107081327,0.4603446045486352,0.5007853921536461
19,0.0937150427240653,0.1863367572886435,0.09316837864432174,0.1868834213048605,0.1179685206100758,0.2033397102495655,0.10166985512478274,0.2196383756766509,0.5015767909345465,0.4628965899586689,0.4985374197122461
20,0.0913906254847774,0.1834468533182597,0.09172342665912984,0.1831140521721079,0.1124782270260362,0.196522873328326,0.098261436664163,0.2107396640349179,0.4976652473971029,0.46626930489877716,0.500908726398122
21,0.0938240525250499,0.1834305691998451,0.09171528459992255,0.1855393372423914,0.1118694426284896,0.2001727693817681,0.10008638469088404,0.2119558270270418,0.5083473089792512,0.472203978039796,0.4943171942028892
22,0.0880157753403683,0.1780893286882803,0.08904466434414016,0.1770604397017701,0.1184223214655907,0.2108965893534736,0.1054482946767368,0.2238706163958543,0.4678680393907126,0.47102338115816045,0.5029054739394164
23,0.088374011613557,0.1799255870822576,0.0899627935411288,0.1783368050638618,0.129916682275426,0.2120018651398519,0.10600093256992595,0.2359176145763033,0.5040781037464076,0.4493133450857348,0.5044544423060255
24,0.0873754090545217,0.1793077676703527,0.08965388383517635,0.1770292927719781,0.1112186585966911,0.2030098839145567,0.10150494195727836,0.2127236009032155,0.5032511969762651,0.4771682198227777,0.5064353047529523
25,0.0865841119120636,0.1777381831898498,0.0888690915949249,0.1754532034653399,0.118532888780141,0.2060987536821307,0.10304937684106535,0.2215822651413166,0.4785933731954676,0.4650614830358578,0.5065116500564816
