PWA-ACO Hybrid  —  run summary
========================================
Dataset   : kroB100
Cities    : 100
Elapsed   : 1.8s

PWA best  : 284.058941
Hybrid    : 252.452571
Improvement: +11.127%

ACO convergence history (best per iteration):
  iter    1: 257.665298
  iter    2: 257.665298
  iter    3: 255.321182
  iter    4: 255.321182
  iter    5: 255.321182
  iter    6: 255.321182
  iter    7: 255.321182
  iter    8: 255.321182
  iter    9: 255.321182
  iter   10: 255.321182
  iter   11: 255.321182
  iter   12: 255.321182
  iter   13: 254.202024
  iter   14: 254.202024
  iter   15: 254.202024
  iter   16: 254.202024
  iter   17: 254.202024
  iter   18: 254.202024
  iter   19: 254.202024
  iter   20: 254.202024
  iter   21: 254.202024
  iter   22: 254.202024
  iter   23: 254.202024
  iter   24: 254.202024
  iter   25: 254.202024
  iter   26: 254.202024
  iter   27: 254.202024
  iter   28: 254.202024
  iter   29: 254.202024
  iter   30: 254.202024
  iter   31: 254.202024
  iter   32: 254.202024
  iter   33: 254.202024
  iter   34: 254.202024
  iter   35: 254.202024
  iter   36: 254.202024
  iter   37: 254.202024
  iter   38: 254.202024
  iter   39: 254.202024
  iter   40: 254.202024
  iter   41: 254.202024
  iter   42: 254.202024
  iter   43: 252.452571
  iter   44: 252.452571
  iter   45: 252.452571
  iter   46: 252.452571
  iter   47: 252.452571
  iter   48: 252.452571
  iter   49: 252.452571
  iter   50: 252.452571
  iter   51: 252.452571
  iter   52: 252.452571
  iter   53: 252.452571
  iter   54: 252.452571
  iter   55: 252.452571
  iter   56: 252.452571
  iter   57: 252.452571
  iter   58: 252.452571
  iter   59: 252.452571
  iter   60: 252.452571
  iter   61: 252.452571
  iter   62: 252.452571
  iter   63: 252.452571
  iter   64: 252.452571
  iter   65: 252.452571
  iter   66: 252.452571
  iter   67: 252.452571
  iter   68: 252.452571
  iter   69: 252.452571
  iter   70: 252.452571
  iter   71: 252.452571
  iter   72: 252.452571
  iter   73: 252.452571
  iter   74: 252.452571
  iter   75: 252.452571
  iter   76: 252.452571
  iter   77: 252.452571
  iter   78: 252.452571
  iter   79: 252.452571
  iter   80: 252.452571

Best tour:
15 -> 76 -> 49 -> 42 -> 88 -> 86 -> 65 -> 73 -> 59 -> 51 -> 53 -> 57 -> 83 -> 6 -> 56 -> 93 -> 26 -> 60 -> 34 -> 70 -> 11 -> 97 -> 31 -> 58 -> 75 -> 7 -> 28 -> 98 -> 96 -> 90 -> 27 -> 2 -> 10 -> 92 -> 84 -> 72 -> 52 -> 69 -> 38 -> 39 -> 66 -> 4 -> 61 -> 25 -> 99 -> 55 -> 68 -> 74 -> 29 -> 37 -> 19 -> 79 -> 48 -> 85 -> 67 -> 9 -> 20 -> 89 -> 0 -> 94 -> 45 -> 24 -> 8 -> 33 -> 71 -> 36 -> 64 -> 78 -> 80 -> 46 -> 21 -> 22 -> 87 -> 54 -> 17 -> 23 -> 95 -> 18 -> 91 -> 43 -> 40 -> 35 -> 44 -> 16 -> 77 -> 12 -> 62 -> 30 -> 47 -> 50 -> 32 -> 14 -> 5 -> 3 -> 82 -> 13 -> 63 -> 81 -> 41 -> 1
