PWA-ACO Hybrid  —  run summary
========================================
Dataset   : st70
Cities    : 70
Elapsed   : 1.3s

PWA best  : 8.640187
Hybrid    : 7.497880
Improvement: +13.221%

ACO convergence history (best per iteration):
  iter    1: 7.736652
  iter    2: 7.708532
  iter    3: 7.708532
  iter    4: 7.708532
  iter    5: 7.708532
  iter    6: 7.652134
  iter    7: 7.652134
  iter    8: 7.652134
  iter    9: 7.652134
  iter   10: 7.652134
  iter   11: 7.652134
  iter   12: 7.652134
  iter   13: 7.652134
  iter   14: 7.652134
  iter   15: 7.652134
  iter   16: 7.652134
  iter   17: 7.652134
  iter   18: 7.621831
  iter   19: 7.621831
  iter   20: 7.621831
  iter   21: 7.621831
  iter   22: 7.621831
  iter   23: 7.621831
  iter   24: 7.621831
  iter   25: 7.621831
  iter   26: 7.621831
  iter   27: 7.621831
  iter   28: 7.621831
  iter   29: 7.621831
  iter   30: 7.621831
  iter   31: 7.621831
  iter   32: 7.621831
  iter   33: 7.621831
  iter   34: 7.621831
  iter   35: 7.621831
  iter   36: 7.621831
  iter   37: 7.621831
  iter   38: 7.621831
  iter   39: 7.621831
  iter   40: 7.621831
  iter   41: 7.621831
  iter   42: 7.621831
  iter   43: 7.621831
  iter   44: 7.621831
  iter   45: 7.621831
  iter   46: 7.621831
  iter   47: 7.621831
  iter   48: 7.621831
  iter   49: 7.621831
  iter   50: 7.621831
  iter   51: 7.621831
  iter   52: 7.621831
  iter   53: 7.621831
  iter   54: 7.621831
  iter   55: 7.621831
  iter   56: 7.621831
  iter   57: 7.621831
  iter   58: 7.621831
  iter   59: 7.621831
  iter   60: 7.621831
  iter   61: 7.621831
  iter   62: 7.621831
  iter   63: 7.621831
  iter   64: 7.621831
  iter   65: 7.621831
  iter   66: 7.621831
  iter   67: 7.621831
  iter   68: 7.621831
  iter   69: 7.621831
  iter   70: 7.621831
  iter   71: 7.621831
  iter   72: 7.617742
  iter   73: 7.617742
  iter   74: 7.617742
  iter   75: 7.617742
  iter   76: 7.497880
  iter   77: 7.497880
  iter   78: 7.497880
  iter   79: 7.497880
  iter   80: 7.497880

Best tour:
68 -> 30 -> 37 -> 58 -> 21 -> 62 -> 65 -> 56 -> 14 -> 23 -> 18 -> 6 -> 1 -> 3 -> 17 -> 41 -> 2 -> 31 -> 27 -> 48 -> 54 -> 25 -> 7 -> 13 -> 19 -> 29 -> 43 -> 67 -> 26 -> 45 -> 24 -> 38 -> 44 -> 39 -> 60 -> 8 -> 16 -> 42 -> 40 -> 5 -> 52 -> 4 -> 9 -> 51 -> 59 -> 32 -> 11 -> 20 -> 33 -> 61 -> 53 -> 66 -> 47 -> 10 -> 63 -> 64 -> 55 -> 50 -> 49 -> 57 -> 36 -> 46 -> 15 -> 0 -> 35 -> 22 -> 12 -> 28 -> 69 -> 34
