PWA-ACO Hybrid  —  run summary
========================================
Dataset   : pr144
Cities    : 144
Elapsed   : 3.1s

PWA best  : 715.652193
Hybrid    : 635.985976
Improvement: +11.132%

ACO convergence history (best per iteration):
  iter    1: 671.553931
  iter    2: 665.094337
  iter    3: 664.609142
  iter    4: 653.646488
  iter    5: 653.646488
  iter    6: 653.646488
  iter    7: 653.646488
  iter    8: 653.646488
  iter    9: 653.646488
  iter   10: 653.646488
  iter   11: 651.705410
  iter   12: 651.705410
  iter   13: 651.705410
  iter   14: 651.705410
  iter   15: 651.705410
  iter   16: 651.705410
  iter   17: 648.780481
  iter   18: 648.780481
  iter   19: 648.780481
  iter   20: 648.780481
  iter   21: 648.780481
  iter   22: 648.780481
  iter   23: 645.079300
  iter   24: 645.079300
  iter   25: 645.079300
  iter   26: 645.079300
  iter   27: 645.079300
  iter   28: 645.079300
  iter   29: 645.079300
  iter   30: 645.079300
  iter   31: 645.079300
  iter   32: 645.079300
  iter   33: 645.079300
  iter   34: 645.079300
  iter   35: 645.079300
  iter   36: 645.079300
  iter   37: 645.079300
  iter   38: 645.079300
  iter   39: 645.079300
  iter   40: 645.079300
  iter   41: 645.079300
  iter   42: 645.079300
  iter   43: 645.079300
  iter   44: 645.079300
  iter   45: 645.079300
  iter   46: 645.079300
  iter   47: 645.079300
  iter   48: 645.079300
  iter   49: 645.079300
  iter   50: 645.079300
  iter   51: 645.079300
  iter   52: 645.079300
  iter   53: 645.079300
  iter   54: 645.079300
  iter   55: 645.079300
  iter   56: 645.079300
  iter   57: 645.079300
  iter   58: 645.079300
  iter   59: 645.079300
  iter   60: 645.079300
  iter   61: 645.079300
  iter   62: 645.079300
  iter   63: 645.079300
  iter   64: 645.079300
  iter   65: 645.079300
  iter   66: 645.079300
  iter   67: 645.079300
  iter   68: 645.079300
  iter   69: 645.079300
  iter   70: 645.079300
  iter   71: 639.937047
  iter   72: 639.937047
  iter   73: 639.937047
  iter   74: 639.937047
  iter   75: 639.937047
  iter   76: 639.937047
  iter   77: 639.937047
  iter   78: 637.901086
  iter   79: 637.901086
  iter   80: 635.985976

Best tour:
69 -> 68 -> 67 -> 66 -> 65 -> 64 -> 63 -> 62 -> 61 -> 60 -> 45 -> 46 -> 47 -> 58 -> 59 -> 78 -> 79 -> 80 -> 81 -> 82 -> 83 -> 84 -> 85 -> 109 -> 108 -> 107 -> 106 -> 105 -> 104 -> 103 -> 87 -> 86 -> 102 -> 101 -> 100 -> 99 -> 98 -> 89 -> 88 -> 77 -> 76 -> 75 -> 74 -> 73 -> 72 -> 90 -> 91 -> 96 -> 97 -> 95 -> 94 -> 92 -> 93 -> 115 -> 116 -> 117 -> 119 -> 118 -> 120 -> 121 -> 122 -> 123 -> 124 -> 125 -> 126 -> 127 -> 128 -> 129 -> 133 -> 132 -> 131 -> 130 -> 114 -> 134 -> 135 -> 136 -> 137 -> 138 -> 139 -> 140 -> 141 -> 142 -> 143 -> 112 -> 113 -> 111 -> 110 -> 57 -> 56 -> 55 -> 54 -> 53 -> 52 -> 51 -> 50 -> 49 -> 48 -> 30 -> 31 -> 32 -> 33 -> 5 -> 4 -> 3 -> 2 -> 0 -> 1 -> 27 -> 28 -> 29 -> 26 -> 25 -> 34 -> 35 -> 24 -> 23 -> 22 -> 21 -> 37 -> 36 -> 38 -> 39 -> 41 -> 40 -> 15 -> 14 -> 16 -> 17 -> 20 -> 19 -> 18 -> 7 -> 6 -> 8 -> 9 -> 10 -> 11 -> 12 -> 13 -> 71 -> 70 -> 44 -> 43 -> 42
