step,seq_id,frame_idx,active_points,true_lane,lane_tp,lane_to_road,lane_to_other,road_to_lane,other_to_lane,lane_recall,lane_to_road_rate,lane_tp_intensity_mean,lane_to_road_intensity_mean,lane_tp_range_mean,lane_to_road_range_mean
1,013,13,16372,191,75,79,37,27,11,0.39267015706806285,0.41361256544502617,50.026668548583984,37.012657165527344,33.53254699707031,32.290218353271484
2,013,39,16365,42,26,16,0,52,37,0.6190476190476191,0.38095238095238093,31.69230842590332,7.1875,46.91636657714844,65.5641860961914
3,013,30,16378,547,127,393,27,133,21,0.23217550274223034,0.7184643510054844,50.95669174194336,30.815732955932617,12.687480926513672,12.265485763549805
4,013,45,16161,301,175,79,47,177,25,0.5813953488372093,0.26245847176079734,45.70000076293945,25.670886993408203,26.722204208374023,28.18231773376465
5,013,17,16373,269,100,136,33,63,26,0.37174721189591076,0.5055762081784386,50.51499938964844,36.71691131591797,31.602415084838867,26.2716007232666
6,013,48,16346,107,61,39,7,67,28,0.5700934579439252,0.3644859813084112,49.180328369140625,14.717948913574219,36.180877685546875,47.816436767578125
7,013,26,16248,583,193,373,17,209,6,0.33104631217838765,0.6397941680960549,43.70639419555664,29.756032943725586,11.98349666595459,11.819637298583984
8,013,25,16214,477,186,281,10,128,17,0.389937106918239,0.589098532494759,44.0869140625,31.82562255859375,17.442853927612305,15.632772445678711
9,013,32,16368,50,29,15,6,23,18,0.58,0.3,48.27586364746094,13.066666603088379,42.75879669189453,51.02423858642578
10,013,19,16239,327,136,184,7,121,20,0.41590214067278286,0.5626911314984709,46.70649719238281,36.255435943603516,20.949186325073242,20.046630859375
11,013,12,16368,58,46,8,4,85,16,0.7931034482758621,0.13793103448275862,46.78260803222656,7.25,40.97536849975586,57.416282653808594
12,013,4,16369,55,31,22,2,28,9,0.5636363636363636,0.4,42.45161437988281,11.727272987365723,42.54751205444336,61.2059440612793
13,013,37,16378,418,126,249,43,108,17,0.3014354066985646,0.5956937799043063,49.73412322998047,29.38995933532715,11.005640983581543,10.697498321533203
14,013,8,16377,157,94,50,13,83,3,0.5987261146496815,0.3184713375796178,49.72340393066406,35.20000076293945,34.14849853515625,31.31291961669922
15,013,3,16349,58,42,14,2,48,19,0.7241379310344828,0.2413793103448276,44.64285659790039,7.0,42.377838134765625,66.47335052490234
16,013,6,16267,181,124,20,37,185,5,0.6850828729281768,0.11049723756906077,48.274192810058594,26.024999618530273,28.26642417907715,28.66054344177246
17,013,41,16352,183,91,89,3,49,15,0.4972677595628415,0.48633879781420764,49.120880126953125,30.938201904296875,33.25803756713867,33.77109909057617
18,013,46,16218,239,91,141,7,88,8,0.3807531380753138,0.5899581589958159,51.19688415527344,30.521629333496094,12.865818977355957,12.183096885681152
19,013,47,16325,168,134,26,8,257,18,0.7976190476190477,0.15476190476190477,41.8283576965332,13.5,32.383975982666016,43.105037689208984
20,013,15,16380,247,75,165,7,90,13,0.30364372469635625,0.6680161943319838,48.77555847167969,30.953533172607422,12.432281494140625,12.652003288269043
21,013,9,16324,292,96,194,2,64,95,0.3287671232876712,0.6643835616438356,49.12239456176758,31.218212127685547,12.148463249206543,12.177037239074707
22,013,16,16363,218,132,21,65,115,20,0.6055045871559633,0.0963302752293578,47.68939208984375,26.190475463867188,33.433074951171875,34.1341438293457
23,013,24,16204,465,149,307,9,168,0,0.3204301075268817,0.6602150537634408,57.10570526123047,32.730186462402344,12.244384765625,14.023282051086426
24,013,34,16248,397,111,266,20,69,21,0.2795969773299748,0.6700251889168766,45.212459564208984,30.719799041748047,12.26720905303955,11.872183799743652
25,013,31,16256,600,218,328,54,187,14,0.36333333333333334,0.5466666666666666,47.78669738769531,28.648374557495117,10.842041015625,10.681446075439453
26,013,0,16344,30,20,10,0,19,23,0.6666666666666666,0.3333333333333333,32.599998474121094,7.5,54.4775390625,69.36346435546875
27,013,44,16381,322,159,154,9,79,5,0.4937888198757764,0.4782608695652174,49.411949157714844,33.55519485473633,24.43853187561035,24.399402618408203
28,013,27,16214,459,222,223,14,152,57,0.48366013071895425,0.485838779956427,45.18994140625,32.92601013183594,18.574033737182617,16.902145385742188
29,013,33,16368,293,105,144,44,46,2,0.3583617747440273,0.49146757679180886,52.4523811340332,33.68402862548828,29.252553939819336,22.961332321166992
30,013,5,16361,32,25,7,0,41,15,0.78125,0.21875,36.400001525878906,9.428571701049805,48.88505935668945,56.51319122314453
31,013,29,16270,519,277,233,9,229,57,0.5337186897880539,0.4489402697495183,42.98556137084961,29.796493530273438,13.66876220703125,13.352630615234375
32,013,11,16341,168,117,19,32,123,5,0.6964285714285714,0.1130952380952381,47.20512771606445,24.052631378173828,32.89564514160156,33.527549743652344
33,013,36,16377,36,20,14,2,25,17,0.5555555555555556,0.3888888888888889,36.79999923706055,5.785714149475098,47.00588607788086,57.978965759277344
34,013,1,16273,387,116,270,1,97,13,0.2997416020671835,0.6976744186046512,47.96336364746094,32.217960357666016,16.002635955810547,14.036676406860352
35,013,21,16374,229,126,69,34,46,19,0.5502183406113537,0.30131004366812225,47.730159759521484,32.66666793823242,33.560970306396484,30.3675479888916
36,013,2,16273,435,211,219,5,150,0,0.4850574712643678,0.503448275862069,44.18009567260742,29.110960006713867,11.675087928771973,10.730796813964844
37,013,43,16330,205,155,40,10,231,25,0.7560975609756098,0.1951219512195122,42.5,17.325000762939453,32.04392623901367,39.613807678222656
38,013,35,16378,413,117,293,3,80,16,0.28329297820823246,0.7094430992736077,47.674503326416016,31.02189826965332,11.7114839553833,11.867105484008789
39,013,23,16196,388,244,105,39,239,16,0.6288659793814433,0.2706185567010309,46.15983581542969,34.20000076293945,21.168701171875,19.346757888793945
40,013,40,16213,278,171,80,27,155,13,0.6151079136690647,0.28776978417266186,47.769004821777344,28.212499618530273,28.229703903198242,26.871410369873047
41,013,10,16252,245,172,16,57,234,0,0.7020408163265306,0.0653061224489796,43.901161193847656,31.125,22.49059295654297,24.82209014892578
42,013,22,16336,123,66,18,39,64,24,0.5365853658536586,0.14634146341463414,48.621212005615234,14.38888931274414,39.58929443359375,52.022499084472656
43,013,18,16338,207,137,37,33,62,15,0.6618357487922706,0.178743961352657,46.71897888183594,33.216217041015625,33.472740173339844,31.382505416870117
44,013,49,16319,204,164,32,8,350,25,0.803921568627451,0.1568627450980392,40.84756088256836,14.3125,30.835121154785156,37.50200271606445
45,013,20,16351,96,79,17,0,73,21,0.8229166666666666,0.17708333333333334,47.37974548339844,8.823529243469238,39.7170524597168,55.455631256103516
46,013,7,16256,275,136,121,18,109,13,0.49454545454545457,0.44,51.180145263671875,34.681819915771484,28.663272857666016,19.807514190673828
47,013,42,16259,402,171,231,0,127,9,0.4253731343283582,0.5746268656716418,47.45857620239258,34.755775451660156,15.740372657775879,16.757539749145508
48,013,14,16258,430,226,203,1,155,5,0.5255813953488372,0.4720930232558139,42.35619354248047,30.25205421447754,12.475913047790527,12.998132705688477
49,013,28,16246,439,198,229,12,138,43,0.4510250569476082,0.5216400911161732,46.63425827026367,33.407203674316406,17.759103775024414,16.871301651000977
50,013,38,16384,412,147,254,11,106,2,0.3567961165048544,0.616504854368932,49.93423843383789,30.16850471496582,10.307376861572266,10.806892395019531
