bias,marking_iou,marking_precision,marking_recall,marking_f1,pred_true,road_to_marking_fp,marking_to_road_fn,rgb_valid_pred_true,rgb_invalid_pred_true,rgb_valid_iou,rgb_invalid_iou,pred_true_0_10m,pred_true_10_20m,pred_true_20_30m,pred_true_30_40m,pred_true_40_60m,pred_true_60m_plus
-0.5,0.5454567335403262,0.6680749651287096,0.7482297048146815,0.7058841851765026,1.1199786608835576,419230,284285,1.1415753382891798,1.041739465725199,0.5467881915249704,0.5404181818181818,1.0995089772377873,1.1891795918493382,1.0972770913669632,0.8942976514383943,0.8041844264173427,0.8040816326530612
-0.4,0.5454011045328874,0.6605828828439871,0.7577488969866317,0.7058376015561866,1.1470913289855753,438679,273429,1.1679100630290533,1.071670422093962,0.5464913314409952,0.541281936351412,1.1196343883645308,1.2176803530018434,1.1230817659557724,0.9186826197333819,0.83360832302122,0.8624878522837707
-0.3,0.544967723502634,0.6528560456026974,0.767318482837477,0.7054745742741142,1.175325690871272,459299,262521,1.1953490434772969,1.1027862458981497,0.5457782295113704,0.5419098893201939,1.1395361838120883,1.2470827633695742,1.1503895490674432,0.945424118577885,0.864819652596361,0.9271137026239067
-0.2,0.543895961670089,0.6446920920089309,0.7767238548036471,0.70457592373224,1.2047981733160258,481419,251810,1.2241672348705326,1.1346290561627164,0.5444328708782643,0.5418726500487397,1.1598665759780857,1.2779071239551523,1.1785826709687575,0.9737366377887319,0.8966955405838948,0.998153547133139
-0.1,0.5424054288535466,0.6360203997754591,0.7865575730404244,0.7033240660423643,1.2366860769216066,505708,240606,1.2552737633943667,1.1693476802705514,0.5427643554023881,0.5410551244008217,1.1823679036961807,1.310479201855174,1.210242386086409,1.0054871870766497,0.9324442000091663,1.0753158406219632
0.0,0.5400457086011848,0.626676933829458,0.7961931919877526,0.7013372467908182,1.2705002354601203,532367,229626,1.2885965641682326,1.2049419013306664,0.540186935412748,0.5395149009919038,1.2053910013323768,1.345013601934223,1.2440898717242466,1.0399357930806798,0.968376185893029,1.1611273080660836
0.1,0.5372265326852003,0.6169954654106204,0.8060260413679973,0.6989555817082892,1.3063727151245332,561096,218439,1.3239538119550094,1.242680933273889,0.5371463435918533,0.5375276394086337,1.2307900155599243,1.381433128197844,1.279475879436531,1.077879350189547,1.0089829964709656,1.246064139941691
0.2,0.5335853713413012,0.606579549065656,0.8159761863801526,0.6958665377390995,1.345208864421889,592960,207116,1.3625140665103412,1.2825165781028465,0.5333627402867106,0.5344207496530384,1.2567201170255389,1.420342997242559,1.318993468167152,1.1204335105474665,1.053279252028049,1.3431486880466472
0.3,0.529231012406365,0.5955378968128461,0.8261869883521094,0.6921531254765473,1.3872954060079692,628066,195488,1.4043815447384322,1.3253967297658782,0.5288653645234835,0.530602209608811,1.28558517428047,1.4615440434026759,1.3627842921224522,1.170136951992805,1.0996379302442825,1.4536443148688047
0.4,0.5237723405586738,0.583593584690369,0.836326544088387,0.6874679722387382,1.433063292722979,667197,183942,1.4503833297300892,1.3703172633177092,0.523234537015021,0.525789854697761,1.3175435817641414,1.5052462397831101,1.4104942157865743,1.2274791953643516,1.155804573995142,1.5826044703595723
0.5,0.5179476682519133,0.5716642989131806,0.8464400341286846,0.6824315213032186,1.4806592535827299,708193,172422,1.4981701063788506,1.4172219477614039,0.517273561636364,0.5204768930704475,1.3517101940797749,1.5488202908127504,1.462245219170536,1.2905590783347185,1.2189605389797882,1.7226433430515062
