scale,active_points,true_marking,predicted_marking,marking_tp,marking_fp,marking_fn,marking_iou,marking_precision,marking_recall,marking_f1,predicted_true_marking_ratio,road_to_marking,marking_to_road,other_to_marking,road_iou,other_iou,miou,road_to_marking_abs_change_from_1.00,road_to_marking_pct_change_from_1.00,marking_precision_abs_change_from_1.00,marking_precision_pct_change_from_1.00,marking_recall_abs_change_from_1.00,marking_recall_pct_change_from_1.00,marking_iou_abs_change_from_1.00,marking_iou_pct_change_from_1.00,marking_f1_abs_change_from_1.00,marking_f1_pct_change_from_1.00,predicted_true_marking_ratio_abs_change_from_1.00,predicted_true_marking_ratio_pct_change_from_1.00
0.8,70609605,1150938,1306660,859531,447129,291407,0.5378566730931807,0.6578076928963923,0.7468091243837635,0.6994886877349347,1.1353000769806887,435009,286269,12120,0.948349466787985,0.980658880376979,0.8222883400860482,-72103.0,-14.21835807474483,0.026364492110784954,4.175275318189139,-0.030880030027681804,-3.9707420185191853,0.002964168874144635,0.5541616027079005,0.0025115342877060076,0.3603467165722768,-0.09630579579438692,-7.819530413360975
0.85,70609605,1150938,1339425,871590,467835,279348,0.5384263266066336,0.6507195251693824,0.7572866653112504,0.6999702453015886,1.163768161273674,454798,274304,13037,0.948170179773999,0.9807241139641393,0.8224402067815907,-52314.0,-10.31606430137721,0.019276324383775023,3.0527408260620224,-0.02040248910019482,-2.623476100246687,0.003533822387597474,0.6606602933718415,0.0029930918543599194,0.42943901956558755,-0.0678377115014015,-5.508069829883841
1.0,70609605,1150938,1417502,895072,522430,255866,0.5348925042190361,0.6314432007856073,0.7776891544114453,0.6969771534472287,1.2316058727750756,507112,251031,15318,0.9465827738349079,0.9802871847733324,0.8205874876090921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.15,70609605,1150938,1480284,906762,573522,244176,0.5258237361260917,0.6125594818291625,0.7878460872783765,0.6892326075108828,1.2861544236092648,556667,239285,16855,0.9436664001677596,0.9791118638758706,0.8162006667232405,49555.0,9.77200302891669,-0.018883718956444806,-2.9905649364742084,0.010156932866931201,1.3060401844767866,-0.009068768092944435,-1.6954374984531124,-0.007744545936345881,-1.1111620944878298,0.05454855083418919,4.429059006618688
1.2,70609605,1150938,1500480,908877,591603,242061,0.5215814147271141,0.6057241682661548,0.7896837188449769,0.6855780567228554,1.3037018501431006,574396,237048,17207,0.9423881196179666,0.9785736368317628,0.8141810570589478,67284.0,13.268074902585623,-0.02571903251945251,-4.073055579259431,0.01199456443353164,1.5423340245254058,-0.013311089491922057,-2.488554127591817,-0.011399096724373226,-1.6355050761698036,0.07209597736802498,5.853818901137348
