PWA-ACO Hybrid  —  run summary
========================================
Dataset   : pr76
Cities    : 76
Elapsed   : 1.3s

PWA best  : 1412.328903
Hybrid    : 1195.795475
Improvement: +15.332%

ACO convergence history (best per iteration):
  iter    1: 1222.892041
  iter    2: 1222.892041
  iter    3: 1200.092384
  iter    4: 1200.092384
  iter    5: 1200.092384
  iter    6: 1200.092384
  iter    7: 1200.092384
  iter    8: 1200.092384
  iter    9: 1200.092384
  iter   10: 1200.092384
  iter   11: 1200.092384
  iter   12: 1200.092384
  iter   13: 1200.092384
  iter   14: 1200.092384
  iter   15: 1200.092384
  iter   16: 1200.092384
  iter   17: 1200.092384
  iter   18: 1200.092384
  iter   19: 1200.092384
  iter   20: 1200.092384
  iter   21: 1196.336678
  iter   22: 1196.336678
  iter   23: 1196.336678
  iter   24: 1196.336678
  iter   25: 1196.336678
  iter   26: 1196.336678
  iter   27: 1196.336678
  iter   28: 1196.336678
  iter   29: 1196.336678
  iter   30: 1196.336678
  iter   31: 1196.336678
  iter   32: 1196.336678
  iter   33: 1196.336678
  iter   34: 1196.336678
  iter   35: 1196.336678
  iter   36: 1196.336678
  iter   37: 1196.336678
  iter   38: 1196.336678
  iter   39: 1196.336678
  iter   40: 1196.336678
  iter   41: 1196.336678
  iter   42: 1196.336678
  iter   43: 1196.336678
  iter   44: 1196.336678
  iter   45: 1196.336678
  iter   46: 1196.336678
  iter   47: 1196.336678
  iter   48: 1196.336678
  iter   49: 1196.336678
  iter   50: 1196.336678
  iter   51: 1196.336678
  iter   52: 1196.336678
  iter   53: 1196.336678
  iter   54: 1196.336678
  iter   55: 1196.336678
  iter   56: 1196.336678
  iter   57: 1196.336678
  iter   58: 1196.336678
  iter   59: 1196.336678
  iter   60: 1196.336678
  iter   61: 1196.336678
  iter   62: 1196.336678
  iter   63: 1196.336678
  iter   64: 1196.336678
  iter   65: 1196.336678
  iter   66: 1196.336678
  iter   67: 1196.336678
  iter   68: 1196.336678
  iter   69: 1196.336678
  iter   70: 1196.336678
  iter   71: 1196.336678
  iter   72: 1196.336678
  iter   73: 1196.277104
  iter   74: 1196.277104
  iter   75: 1196.277104
  iter   76: 1196.277104
  iter   77: 1195.795475
  iter   78: 1195.795475
  iter   79: 1195.795475
  iter   80: 1195.795475

Best tour:
42 -> 41 -> 53 -> 52 -> 51 -> 48 -> 49 -> 50 -> 65 -> 64 -> 66 -> 67 -> 69 -> 68 -> 46 -> 47 -> 43 -> 44 -> 45 -> 23 -> 24 -> 20 -> 21 -> 22 -> 0 -> 75 -> 74 -> 1 -> 2 -> 3 -> 4 -> 5 -> 6 -> 7 -> 8 -> 9 -> 10 -> 11 -> 12 -> 13 -> 73 -> 14 -> 15 -> 16 -> 17 -> 36 -> 35 -> 34 -> 33 -> 37 -> 38 -> 39 -> 40 -> 59 -> 60 -> 61 -> 62 -> 63 -> 72 -> 71 -> 70 -> 55 -> 54 -> 56 -> 57 -> 58 -> 32 -> 31 -> 27 -> 28 -> 29 -> 19 -> 18 -> 30 -> 25 -> 26
