PWA-ACO Hybrid  —  run summary
========================================
Dataset   : pr76
Cities    : 76
Elapsed   : 1.4s

PWA best  : 1412.328903
Hybrid    : 1182.872315
Improvement: +16.247%

ACO convergence history (best per iteration):
  iter    1: 1242.598988
  iter    2: 1242.598988
  iter    3: 1238.541605
  iter    4: 1226.965467
  iter    5: 1226.965467
  iter    6: 1226.965467
  iter    7: 1226.965467
  iter    8: 1226.596735
  iter    9: 1226.596735
  iter   10: 1211.136349
  iter   11: 1211.136349
  iter   12: 1211.136349
  iter   13: 1211.136349
  iter   14: 1211.136349
  iter   15: 1211.136349
  iter   16: 1211.136349
  iter   17: 1203.516754
  iter   18: 1203.516754
  iter   19: 1203.516754
  iter   20: 1203.516754
  iter   21: 1203.516754
  iter   22: 1203.516754
  iter   23: 1203.516754
  iter   24: 1203.516754
  iter   25: 1203.516754
  iter   26: 1203.516754
  iter   27: 1203.516754
  iter   28: 1203.516754
  iter   29: 1203.516754
  iter   30: 1203.516754
  iter   31: 1203.516754
  iter   32: 1203.516754
  iter   33: 1203.516754
  iter   34: 1203.516754
  iter   35: 1203.516754
  iter   36: 1203.516754
  iter   37: 1203.516754
  iter   38: 1203.516754
  iter   39: 1203.516754
  iter   40: 1203.516754
  iter   41: 1203.516754
  iter   42: 1203.516754
  iter   43: 1203.516754
  iter   44: 1203.516754
  iter   45: 1203.516754
  iter   46: 1203.516754
  iter   47: 1203.516754
  iter   48: 1203.516754
  iter   49: 1203.516754
  iter   50: 1203.516754
  iter   51: 1203.516754
  iter   52: 1203.516754
  iter   53: 1203.516754
  iter   54: 1203.516754
  iter   55: 1203.516754
  iter   56: 1203.516754
  iter   57: 1198.169428
  iter   58: 1198.169428
  iter   59: 1198.169428
  iter   60: 1198.169428
  iter   61: 1198.169428
  iter   62: 1198.169428
  iter   63: 1198.169428
  iter   64: 1198.169428
  iter   65: 1198.169428
  iter   66: 1198.169428
  iter   67: 1198.169428
  iter   68: 1198.169428
  iter   69: 1198.169428
  iter   70: 1197.567458
  iter   71: 1189.059783
  iter   72: 1189.059783
  iter   73: 1189.059783
  iter   74: 1189.059783
  iter   75: 1182.872315
  iter   76: 1182.872315
  iter   77: 1182.872315
  iter   78: 1182.872315
  iter   79: 1182.872315
  iter   80: 1182.872315

Best tour:
57 -> 56 -> 54 -> 55 -> 70 -> 71 -> 72 -> 63 -> 62 -> 61 -> 60 -> 58 -> 59 -> 40 -> 38 -> 37 -> 35 -> 36 -> 17 -> 16 -> 15 -> 14 -> 73 -> 13 -> 12 -> 11 -> 10 -> 8 -> 9 -> 4 -> 5 -> 6 -> 7 -> 2 -> 3 -> 1 -> 74 -> 75 -> 0 -> 22 -> 21 -> 20 -> 24 -> 23 -> 45 -> 44 -> 43 -> 47 -> 46 -> 68 -> 69 -> 67 -> 66 -> 49 -> 48 -> 64 -> 65 -> 50 -> 51 -> 52 -> 53 -> 41 -> 42 -> 27 -> 26 -> 25 -> 28 -> 29 -> 19 -> 18 -> 30 -> 31 -> 32 -> 34 -> 33 -> 39
