PWA-ACO Hybrid  —  run summary
========================================
Dataset   : kroB100
Cities    : 100
Elapsed   : 1.8s

PWA best  : 284.058941
Hybrid    : 251.789436
Improvement: +11.360%

ACO convergence history (best per iteration):
  iter    1: 256.767367
  iter    2: 256.767367
  iter    3: 256.767367
  iter    4: 256.767367
  iter    5: 256.767367
  iter    6: 256.767367
  iter    7: 256.767367
  iter    8: 256.767367
  iter    9: 256.767367
  iter   10: 256.767367
  iter   11: 256.767367
  iter   12: 256.767367
  iter   13: 256.767367
  iter   14: 256.767367
  iter   15: 256.767367
  iter   16: 256.767367
  iter   17: 256.767367
  iter   18: 256.767367
  iter   19: 256.767367
  iter   20: 256.453145
  iter   21: 256.453145
  iter   22: 256.453145
  iter   23: 256.453145
  iter   24: 256.453145
  iter   25: 256.453145
  iter   26: 255.910990
  iter   27: 255.910990
  iter   28: 255.910990
  iter   29: 255.910990
  iter   30: 255.910990
  iter   31: 255.910990
  iter   32: 255.910990
  iter   33: 255.910990
  iter   34: 255.910990
  iter   35: 255.910990
  iter   36: 255.910990
  iter   37: 255.910990
  iter   38: 255.910990
  iter   39: 255.910990
  iter   40: 255.910990
  iter   41: 255.910990
  iter   42: 255.910990
  iter   43: 255.910990
  iter   44: 255.910990
  iter   45: 255.910990
  iter   46: 255.910990
  iter   47: 255.910990
  iter   48: 255.910990
  iter   49: 255.910990
  iter   50: 255.910990
  iter   51: 255.910990
  iter   52: 255.910990
  iter   53: 255.910990
  iter   54: 255.910990
  iter   55: 255.910990
  iter   56: 255.910990
  iter   57: 255.910990
  iter   58: 255.910990
  iter   59: 255.910990
  iter   60: 255.910990
  iter   61: 255.295225
  iter   62: 255.295225
  iter   63: 255.035251
  iter   64: 255.035251
  iter   65: 254.590907
  iter   66: 254.590907
  iter   67: 254.590907
  iter   68: 254.590907
  iter   69: 254.590907
  iter   70: 254.590907
  iter   71: 254.590907
  iter   72: 254.590907
  iter   73: 254.590907
  iter   74: 254.590907
  iter   75: 253.505664
  iter   76: 253.505664
  iter   77: 253.505664
  iter   78: 253.505664
  iter   79: 252.950695
  iter   80: 252.950695

Best tour:
84 -> 72 -> 52 -> 69 -> 38 -> 39 -> 66 -> 4 -> 61 -> 68 -> 67 -> 9 -> 48 -> 85 -> 37 -> 19 -> 79 -> 29 -> 74 -> 25 -> 99 -> 55 -> 80 -> 78 -> 46 -> 64 -> 71 -> 36 -> 87 -> 22 -> 21 -> 54 -> 17 -> 23 -> 95 -> 18 -> 43 -> 91 -> 35 -> 44 -> 40 -> 16 -> 77 -> 12 -> 62 -> 30 -> 47 -> 50 -> 32 -> 14 -> 5 -> 3 -> 82 -> 13 -> 63 -> 81 -> 41 -> 1 -> 15 -> 76 -> 49 -> 42 -> 88 -> 86 -> 65 -> 73 -> 59 -> 51 -> 53 -> 57 -> 83 -> 6 -> 93 -> 56 -> 33 -> 8 -> 45 -> 24 -> 26 -> 60 -> 34 -> 70 -> 11 -> 20 -> 89 -> 0 -> 94 -> 97 -> 31 -> 28 -> 58 -> 75 -> 7 -> 98 -> 96 -> 90 -> 27 -> 2 -> 10 -> 92
