PWA-ACO Hybrid  —  run summary
========================================
Dataset   : pr144
Cities    : 144
Elapsed   : 3.2s

PWA best  : 715.652193
Hybrid    : 631.307147
Improvement: +11.786%

ACO convergence history (best per iteration):
  iter    1: 647.870004
  iter    2: 647.870004
  iter    3: 647.870004
  iter    4: 647.870004
  iter    5: 647.870004
  iter    6: 647.870004
  iter    7: 647.870004
  iter    8: 646.097434
  iter    9: 646.097434
  iter   10: 646.097434
  iter   11: 646.097434
  iter   12: 646.097434
  iter   13: 646.097434
  iter   14: 646.097434
  iter   15: 646.097434
  iter   16: 646.097434
  iter   17: 646.097434
  iter   18: 646.097434
  iter   19: 646.097434
  iter   20: 646.097434
  iter   21: 646.097434
  iter   22: 646.097434
  iter   23: 646.097434
  iter   24: 646.097434
  iter   25: 644.251978
  iter   26: 644.251978
  iter   27: 644.251978
  iter   28: 644.251978
  iter   29: 641.561665
  iter   30: 641.561665
  iter   31: 641.561665
  iter   32: 641.561665
  iter   33: 641.561665
  iter   34: 641.561665
  iter   35: 641.561665
  iter   36: 641.561665
  iter   37: 641.561665
  iter   38: 641.561665
  iter   39: 641.561665
  iter   40: 641.561665
  iter   41: 641.561665
  iter   42: 641.561665
  iter   43: 641.561665
  iter   44: 641.561665
  iter   45: 641.561665
  iter   46: 641.561665
  iter   47: 641.561665
  iter   48: 641.561665
  iter   49: 641.561665
  iter   50: 641.561665
  iter   51: 641.561665
  iter   52: 641.561665
  iter   53: 641.561665
  iter   54: 640.252668
  iter   55: 640.252668
  iter   56: 640.252668
  iter   57: 640.252668
  iter   58: 636.376127
  iter   59: 636.376127
  iter   60: 636.376127
  iter   61: 636.376127
  iter   62: 636.376127
  iter   63: 636.376127
  iter   64: 636.376127
  iter   65: 636.376127
  iter   66: 636.376127
  iter   67: 636.376127
  iter   68: 636.376127
  iter   69: 636.376127
  iter   70: 636.376127
  iter   71: 636.376127
  iter   72: 636.376127
  iter   73: 636.376127
  iter   74: 636.376127
  iter   75: 636.376127
  iter   76: 636.376127
  iter   77: 636.376127
  iter   78: 636.376127
  iter   79: 636.376127
  iter   80: 636.376127

Best tour:
29 -> 26 -> 25 -> 34 -> 35 -> 23 -> 24 -> 21 -> 22 -> 36 -> 37 -> 38 -> 39 -> 19 -> 20 -> 17 -> 16 -> 41 -> 40 -> 15 -> 14 -> 18 -> 7 -> 6 -> 8 -> 9 -> 10 -> 11 -> 12 -> 13 -> 71 -> 70 -> 44 -> 43 -> 42 -> 69 -> 68 -> 67 -> 66 -> 65 -> 64 -> 63 -> 62 -> 61 -> 60 -> 45 -> 46 -> 47 -> 58 -> 59 -> 78 -> 79 -> 80 -> 81 -> 82 -> 83 -> 84 -> 85 -> 109 -> 108 -> 107 -> 106 -> 105 -> 104 -> 103 -> 87 -> 86 -> 102 -> 101 -> 100 -> 99 -> 98 -> 89 -> 88 -> 77 -> 76 -> 75 -> 74 -> 73 -> 72 -> 90 -> 91 -> 92 -> 93 -> 94 -> 95 -> 97 -> 96 -> 115 -> 116 -> 117 -> 119 -> 118 -> 120 -> 121 -> 122 -> 123 -> 124 -> 125 -> 126 -> 127 -> 128 -> 129 -> 133 -> 132 -> 131 -> 130 -> 114 -> 134 -> 135 -> 136 -> 137 -> 138 -> 139 -> 140 -> 141 -> 142 -> 143 -> 112 -> 113 -> 111 -> 110 -> 57 -> 56 -> 55 -> 54 -> 53 -> 52 -> 51 -> 50 -> 48 -> 49 -> 33 -> 32 -> 30 -> 31 -> 4 -> 5 -> 3 -> 2 -> 0 -> 1 -> 27 -> 28
