PWA-ACO Hybrid  —  run summary
========================================
Dataset   : pr124
Cities    : 124
Elapsed   : 2.4s

PWA best  : 728.533465
Hybrid    : 651.734933
Improvement: +10.542%

ACO convergence history (best per iteration):
  iter    1: 666.229877
  iter    2: 666.229877
  iter    3: 664.633230
  iter    4: 664.633230
  iter    5: 664.633230
  iter    6: 664.633230
  iter    7: 664.395694
  iter    8: 664.395694
  iter    9: 663.130675
  iter   10: 663.130675
  iter   11: 663.130675
  iter   12: 657.262590
  iter   13: 657.262590
  iter   14: 657.262590
  iter   15: 657.262590
  iter   16: 657.262590
  iter   17: 657.262590
  iter   18: 657.262590
  iter   19: 657.262590
  iter   20: 657.262590
  iter   21: 657.262590
  iter   22: 657.262590
  iter   23: 657.262590
  iter   24: 656.481503
  iter   25: 655.600932
  iter   26: 655.600932
  iter   27: 655.600932
  iter   28: 655.600932
  iter   29: 655.600932
  iter   30: 655.600932
  iter   31: 655.600932
  iter   32: 655.600932
  iter   33: 655.600932
  iter   34: 655.600932
  iter   35: 655.600932
  iter   36: 655.600932
  iter   37: 655.573799
  iter   38: 655.573799
  iter   39: 655.573799
  iter   40: 655.573799
  iter   41: 655.573799
  iter   42: 655.573799
  iter   43: 655.573799
  iter   44: 655.573799
  iter   45: 655.573799
  iter   46: 655.573799
  iter   47: 655.573799
  iter   48: 655.573799
  iter   49: 655.573799
  iter   50: 655.573799
  iter   51: 655.573799
  iter   52: 655.573799
  iter   53: 655.573799
  iter   54: 654.153808
  iter   55: 654.153808
  iter   56: 654.153808
  iter   57: 654.153808
  iter   58: 654.153808
  iter   59: 654.153808
  iter   60: 654.153808
  iter   61: 654.153808
  iter   62: 654.153808
  iter   63: 654.153808
  iter   64: 654.153808
  iter   65: 654.153808
  iter   66: 654.153808
  iter   67: 653.809615
  iter   68: 653.809615
  iter   69: 653.809615
  iter   70: 653.809615
  iter   71: 653.809615
  iter   72: 653.809615
  iter   73: 653.809615
  iter   74: 653.809615
  iter   75: 653.809615
  iter   76: 653.809615
  iter   77: 653.809615
  iter   78: 653.809615
  iter   79: 653.809615
  iter   80: 651.734933

Best tour:
7 -> 0 -> 1 -> 2 -> 3 -> 4 -> 5 -> 31 -> 30 -> 29 -> 33 -> 32 -> 58 -> 60 -> 59 -> 61 -> 65 -> 64 -> 62 -> 63 -> 67 -> 68 -> 69 -> 70 -> 71 -> 72 -> 73 -> 74 -> 75 -> 76 -> 77 -> 78 -> 79 -> 91 -> 92 -> 93 -> 94 -> 95 -> 96 -> 97 -> 98 -> 99 -> 123 -> 122 -> 121 -> 120 -> 119 -> 118 -> 117 -> 116 -> 115 -> 114 -> 80 -> 81 -> 83 -> 82 -> 66 -> 100 -> 90 -> 84 -> 89 -> 101 -> 102 -> 113 -> 112 -> 111 -> 110 -> 109 -> 108 -> 107 -> 106 -> 105 -> 104 -> 103 -> 88 -> 87 -> 86 -> 85 -> 52 -> 51 -> 45 -> 46 -> 47 -> 48 -> 50 -> 49 -> 14 -> 13 -> 12 -> 11 -> 10 -> 9 -> 8 -> 15 -> 16 -> 17 -> 18 -> 19 -> 20 -> 40 -> 41 -> 42 -> 43 -> 44 -> 53 -> 39 -> 38 -> 22 -> 21 -> 24 -> 23 -> 25 -> 37 -> 36 -> 54 -> 55 -> 56 -> 57 -> 35 -> 34 -> 28 -> 27 -> 26 -> 6
