signal,column,pearson_corr_with_marking_iou,argmin_epoch,argmax_marking_iou_epoch
validation CE,val_ce_loss,-0.863212831602442,31,37
validation Lovasz raw,val_lovasz_loss,-0.9844460768295488,80,37
validation Lovasz scaled,val_lovasz_scaled,-0.9844460768295488,80,37
validation total,val_total_loss,-0.902085639908944,43,37
training total,train_total_loss,-0.8760567880987014,100,37
