epoch,lane_iou,lane_precision,lane_recall,lane_f1,miou,lr,train_ce_loss,train_lovasz_loss,train_total_loss,val_ce_loss,val_lovasz_loss,val_total_loss,train_lovasz_scaled,val_lovasz_scaled,train_lovasz_total_share,val_lovasz_total_share
1,0.3245279474299088,0.5630292042669057,0.4337845437543323,0.4900280859450603,0.7052849417801345,0.0014,0.3187973964429492,0.332101120154277,0.484847957453016,0.2651280174600995,0.2791945980240901,0.4047253174396852,0.1660505600771385,0.13959729901204504,0.3424796526924207,0.344918622573812
2,0.1988189432064928,0.6409860290166577,0.2237333965473675,0.3316913606231643,0.6524177707639175,0.0014,0.2020968119854685,0.2675636689234846,0.33587864603494,0.6416964861564338,0.3316255616231097,0.807509264939775,0.1337818344617423,0.16581278081155484,0.39830407809797336,0.20533854905543572
3,0.3808150994621536,0.5212737753648861,0.5856280196420052,0.551580149450113,0.7495118869396257,0.0014,0.1749109010818286,0.2495647568841754,0.2996932795624538,0.1896335822581831,0.2506457736819155,0.3149564695596281,0.1247823784420877,0.12532288684095774,0.4163669556563547,0.39790542171171817
4,0.4526161408698408,0.5440651092780348,0.7292018652429546,0.6231737733532409,0.7779429920019755,0.0014,0.1574751538489463,0.2360290748781749,0.2754896913968219,0.1454937252164301,0.2328135539156695,0.261900502603708,0.11801453743908745,0.11640677695783475,0.428380956255443,0.4444694676053159
5,0.4461667305996782,0.6604826505644401,0.5789481913895549,0.6170335980757453,0.7870113960623776,0.0014,0.1393888660293104,0.2232597860266807,0.2510187587652612,0.166293728729296,0.2177320764115494,0.2751597672649142,0.11162989301334035,0.1088660382057747,0.44470737391276177,0.39564664299545754
6,0.4617971733840427,0.5432326016526795,0.7549330579426843,0.6318211333176789,0.7895011953971407,0.0014,0.1309286737204368,0.216381776248153,0.2391195619535022,0.1302127396041113,0.2168695168905995,0.2386474978126999,0.1081908881240765,0.10843475844529975,0.45245519538512147,0.4543720736196601
7,0.4844627689601913,0.630489126613308,0.6765570605652199,0.652711242195099,0.8010225374057157,0.0014,0.1270177114333411,0.2128550189707813,0.233445220908696,0.1321263291536727,0.2121474665175709,0.238200062384001,0.10642750948539065,0.10607373325878545,0.45589928579868455,0.4453136250140211
8,0.4689165791666279,0.5462138486405357,0.7681726388000933,0.6384522930943596,0.791728078756435,0.0014,0.1202899499968946,0.2090714482433997,0.2248256740890893,0.128772288090032,0.2149685701510558,0.2362565732742142,0.10453572412169986,0.1074842850755279,0.46496346356011187,0.4549472786552901
9,0.4459510785336657,0.4939873621768005,0.8209808906617945,0.6168273396716897,0.7858640179199042,0.0014,0.1156559406524797,0.2056504054239886,0.218481143589276,0.1160818076847742,0.2274303682484767,0.2297969924751669,0.1028252027119943,0.11371518412423835,0.4706365090494766,0.49485061966825794
10,0.4997825829149701,0.6240697155242239,0.7150595270230319,0.6664733790195044,0.8062387299337882,0.0014,0.111097477574367,0.2023093946763828,0.2122521748316699,0.1284147189813666,0.2008955689379945,0.2288625040893546,0.1011546973381914,0.10044778446899726,0.4765779074745114,0.4389001373059324
11,0.491647214186461,0.5885419461355897,0.7491396838239543,0.6592003920372066,0.8034812083461825,0.0014,0.1087288828016708,0.1989136468181547,0.2081857061354796,0.1269047082337137,0.2029489738375155,0.2283791952637127,0.09945682340907736,0.10147448691875775,0.4777312777869318,0.4443245664369021
