PWA-ACO Hybrid  —  run summary
========================================
Dataset   : pr144
Cities    : 144
Elapsed   : 3.0s

PWA best  : 715.652193
Hybrid    : 634.742268
Improvement: +11.306%

ACO convergence history (best per iteration):
  iter    1: 655.144888
  iter    2: 655.144888
  iter    3: 649.546110
  iter    4: 648.027251
  iter    5: 648.027251
  iter    6: 648.027251
  iter    7: 648.027251
  iter    8: 648.027251
  iter    9: 648.027251
  iter   10: 648.027251
  iter   11: 646.327558
  iter   12: 646.327558
  iter   13: 646.327558
  iter   14: 646.327558
  iter   15: 646.327558
  iter   16: 646.327558
  iter   17: 646.327558
  iter   18: 646.327558
  iter   19: 646.327558
  iter   20: 646.327558
  iter   21: 646.327558
  iter   22: 646.327558
  iter   23: 646.327558
  iter   24: 646.327558
  iter   25: 646.327558
  iter   26: 646.327558
  iter   27: 646.327558
  iter   28: 646.327558
  iter   29: 646.327558
  iter   30: 646.327558
  iter   31: 646.327558
  iter   32: 646.327558
  iter   33: 646.327558
  iter   34: 646.327558
  iter   35: 646.327558
  iter   36: 646.327558
  iter   37: 644.844669
  iter   38: 644.844669
  iter   39: 644.844669
  iter   40: 644.844669
  iter   41: 644.844669
  iter   42: 644.844669
  iter   43: 644.844669
  iter   44: 644.844669
  iter   45: 644.844669
  iter   46: 644.844669
  iter   47: 644.844669
  iter   48: 644.844669
  iter   49: 644.844669
  iter   50: 644.844669
  iter   51: 644.844669
  iter   52: 644.844669
  iter   53: 644.844669
  iter   54: 644.844669
  iter   55: 644.844669
  iter   56: 644.844669
  iter   57: 637.830793
  iter   58: 637.830793
  iter   59: 637.830793
  iter   60: 637.830793
  iter   61: 637.830793
  iter   62: 637.830793
  iter   63: 637.830793
  iter   64: 637.830793
  iter   65: 637.830793
  iter   66: 637.830793
  iter   67: 635.566684
  iter   68: 635.566684
  iter   69: 635.566684
  iter   70: 635.566684
  iter   71: 635.566684
  iter   72: 635.566684
  iter   73: 635.566684
  iter   74: 635.566684
  iter   75: 635.566684
  iter   76: 635.566684
  iter   77: 635.566684
  iter   78: 635.566684
  iter   79: 634.742268
  iter   80: 634.742268

Best tour:
4 -> 5 -> 33 -> 32 -> 31 -> 30 -> 48 -> 49 -> 50 -> 51 -> 52 -> 53 -> 54 -> 55 -> 56 -> 57 -> 110 -> 111 -> 113 -> 112 -> 143 -> 142 -> 141 -> 140 -> 139 -> 138 -> 137 -> 136 -> 135 -> 134 -> 114 -> 130 -> 131 -> 132 -> 133 -> 129 -> 128 -> 127 -> 126 -> 125 -> 124 -> 123 -> 122 -> 121 -> 120 -> 118 -> 119 -> 116 -> 115 -> 117 -> 91 -> 90 -> 72 -> 73 -> 74 -> 75 -> 76 -> 77 -> 88 -> 89 -> 93 -> 92 -> 94 -> 95 -> 96 -> 97 -> 98 -> 99 -> 100 -> 101 -> 102 -> 86 -> 87 -> 103 -> 104 -> 105 -> 106 -> 107 -> 108 -> 109 -> 85 -> 84 -> 83 -> 82 -> 81 -> 80 -> 79 -> 78 -> 59 -> 58 -> 47 -> 46 -> 45 -> 60 -> 61 -> 62 -> 63 -> 64 -> 65 -> 66 -> 67 -> 68 -> 69 -> 42 -> 43 -> 44 -> 70 -> 71 -> 13 -> 12 -> 11 -> 10 -> 9 -> 8 -> 6 -> 7 -> 18 -> 19 -> 20 -> 14 -> 15 -> 40 -> 41 -> 16 -> 17 -> 39 -> 38 -> 36 -> 37 -> 21 -> 22 -> 23 -> 24 -> 35 -> 34 -> 25 -> 26 -> 29 -> 28 -> 27 -> 1 -> 0 -> 2 -> 3
