PWA-ACO Hybrid  —  run summary
========================================
Dataset   : pr124
Cities    : 124
Elapsed   : 2.3s

PWA best  : 728.533465
Hybrid    : 649.424210
Improvement: +10.859%

ACO convergence history (best per iteration):
  iter    1: 653.541595
  iter    2: 653.541595
  iter    3: 653.541595
  iter    4: 653.541595
  iter    5: 653.541595
  iter    6: 653.541595
  iter    7: 653.541595
  iter    8: 653.541595
  iter    9: 653.541595
  iter   10: 653.541595
  iter   11: 653.541595
  iter   12: 653.541595
  iter   13: 653.541595
  iter   14: 653.541595
  iter   15: 653.541595
  iter   16: 653.541595
  iter   17: 653.541595
  iter   18: 653.541595
  iter   19: 653.541595
  iter   20: 653.541595
  iter   21: 653.356226
  iter   22: 653.356226
  iter   23: 653.356226
  iter   24: 653.356226
  iter   25: 653.356226
  iter   26: 653.356226
  iter   27: 650.571161
  iter   28: 650.571161
  iter   29: 650.571161
  iter   30: 650.571161
  iter   31: 650.571161
  iter   32: 650.571161
  iter   33: 650.571161
  iter   34: 650.571161
  iter   35: 650.571161
  iter   36: 650.571161
  iter   37: 650.571161
  iter   38: 650.571161
  iter   39: 650.571161
  iter   40: 650.571161
  iter   41: 650.571161
  iter   42: 650.571161
  iter   43: 650.571161
  iter   44: 650.571161
  iter   45: 650.571161
  iter   46: 650.571161
  iter   47: 650.571161
  iter   48: 650.571161
  iter   49: 650.571161
  iter   50: 650.571161
  iter   51: 650.571161
  iter   52: 650.571161
  iter   53: 650.571161
  iter   54: 650.571161
  iter   55: 650.571161
  iter   56: 650.571161
  iter   57: 650.571161
  iter   58: 650.571161
  iter   59: 650.571161
  iter   60: 650.571161
  iter   61: 650.571161
  iter   62: 650.571161
  iter   63: 650.571161
  iter   64: 650.571161
  iter   65: 650.571161
  iter   66: 650.571161
  iter   67: 650.571161
  iter   68: 650.571161
  iter   69: 650.571161
  iter   70: 650.571161
  iter   71: 650.571161
  iter   72: 650.571161
  iter   73: 650.571161
  iter   74: 650.571161
  iter   75: 650.571161
  iter   76: 650.571161
  iter   77: 650.571161
  iter   78: 650.571161
  iter   79: 650.571161
  iter   80: 650.571161

Best tour:
94 -> 93 -> 92 -> 91 -> 79 -> 78 -> 77 -> 76 -> 75 -> 74 -> 73 -> 72 -> 71 -> 70 -> 69 -> 68 -> 67 -> 63 -> 62 -> 80 -> 81 -> 83 -> 82 -> 66 -> 64 -> 65 -> 61 -> 59 -> 60 -> 58 -> 32 -> 33 -> 29 -> 30 -> 31 -> 5 -> 4 -> 3 -> 2 -> 1 -> 0 -> 7 -> 6 -> 26 -> 27 -> 28 -> 34 -> 35 -> 57 -> 56 -> 55 -> 54 -> 36 -> 37 -> 25 -> 23 -> 24 -> 21 -> 22 -> 38 -> 39 -> 20 -> 19 -> 41 -> 40 -> 42 -> 43 -> 44 -> 18 -> 17 -> 16 -> 15 -> 8 -> 9 -> 11 -> 12 -> 10 -> 13 -> 14 -> 49 -> 50 -> 48 -> 47 -> 46 -> 45 -> 51 -> 52 -> 53 -> 84 -> 89 -> 85 -> 86 -> 87 -> 88 -> 103 -> 104 -> 105 -> 106 -> 107 -> 108 -> 109 -> 110 -> 111 -> 112 -> 113 -> 102 -> 101 -> 100 -> 90 -> 114 -> 115 -> 116 -> 117 -> 118 -> 119 -> 120 -> 121 -> 122 -> 123 -> 99 -> 98 -> 97 -> 96 -> 95
