run,label,epoch,train_loss,val_loss,miou,marking_iou,marking_precision,marking_recall,marking_f1,lr
D0,official,18,0.1320247862102656,0.1842126468558692,0.7808293932909053,0.4402936634062269,0.5147877273726487,0.7526361971421429,0.6113942935289365,0.0014
E0,best,14,0.1190739824793879,0.1389337864497469,0.7806584578414802,0.4384393663916791,0.4702983574044707,0.8661703539710927,0.6096042372526316,0.0014
F0,best,13,0.1044681614533805,0.1182282214182325,0.7986818335955664,0.482769554261302,0.5492490994544084,0.7995432172280974,0.6511727366857246,0.0014
F0,final,25,0.0821840798251475,0.1067246577081581,0.7878732564819798,0.4499823523598424,0.4845237642802307,0.8632394602705148,0.620672867676627,0.0007
