run,epoch,train_loss,val_loss,miou,road_iou,lane_iou,other_iou,road_precision,road_recall,road_f1,lane_precision,lane_recall,lane_f1,other_precision,other_recall,other_f1,lane_recall_0to10m,lane_recall_10to20m,lane_recall_20to30m,lane_recall_30plus,peak_gpu_memory_bytes_val,val_wall_clock_seconds,lr,train_ce_loss,train_lovasz_loss,train_total_loss,val_ce_loss,val_lovasz_loss,val_total_loss
G0,1,0.4848884931026861,0.4024936959250934,0.7041307513109242,0.8743114021411496,0.3166935133535036,0.9213873384381196,0.8879967182672605,0.982678371169658,0.9329414537438828,0.544307853935888,0.4309543427368201,0.4810436295792372,0.993921363565912,0.926608808685674,0.9590854691351384,0.6045616669795382,0.4313054173627301,0.4096999343792877,0.3519203881898182,476362752,65.645183974877,0.0014,0.3185535185841908,0.33266994766891,0.4848884931026861,0.2609381122307645,0.283111166421117,0.4024936959250934
G0,2,0.3353025903716555,0.3472428386410077,0.7292668599565798,0.8812247763069023,0.3740109779943139,0.9325648255685234,0.901825299430446,0.9747329362466634,0.9368628219290894,0.5222506981385365,0.5685277468798925,0.5444075542107666,0.994685935385728,0.9372343006128974,0.9651058668049396,0.7055704398303193,0.562812720062266,0.5827706825022371,0.4622968580715059,476363264,64.09577522333711,0.0014,0.2015593508113946,0.2674864789262285,0.3353025903716555,0.2138796107688297,0.2667264545491586,0.3472428386410077
G0,3,0.2952161500696093,0.3265994513355609,0.740446108003165,0.9014971159578214,0.3681664677015087,0.951674740350165,0.9283778736740402,0.968881195060062,0.9481971951387574,0.5023117901296613,0.5795867587792014,0.5381895791087774,0.9925527163894676,0.9585191127328268,0.9752390812614788,0.6107862958308289,0.5499877897539276,0.6674021600278713,0.5268614908650027,476362752,64.15844252984971,0.0014,0.1712751260207934,0.2478820478740341,0.2952161500696093,0.1981139065697789,0.2569710881966683,0.3265994513355609
G0,4,0.2721638027522391,0.2665701481306718,0.7702847199051615,0.9168219058214232,0.4287945303540514,0.9652377235400096,0.9525134699226908,0.9607343499535628,0.9566062481204104,0.5073690833849037,0.7346634327779155,0.6002186056070601,0.9918881719677948,0.9729178163248432,0.9823114140118516,0.7972464857985769,0.7528246947351217,0.7483237882385808,0.5722052692654833,476363264,62.96911893412471,0.0014,0.1545017120344082,0.2353241817961479,0.2721638027522391,0.1479745707190078,0.2371911558736529,0.2665701481306718
G0,5,0.2511866776914946,0.3025612683630445,0.7796589929357479,0.9350686523472996,0.4313144259447113,0.9725939005152328,0.9567283736138832,0.976360891871228,0.9664449384914914,0.6591331738757779,0.5551391639737309,0.602682985829659,0.9909629673549716,0.9812975356341306,0.9861065678659916,0.6473121429617694,0.5474583999226259,0.576421759507543,0.48436295090395,478457856,64.26178967766464,0.0014,0.1393761824146073,0.2236209908122967,0.2511866776914946,0.1909202244701899,0.223282089526765,0.3025612683630445
G0,6,0.2365008830967969,0.241369033876496,0.7946262490173831,0.9365618322013726,0.4747526066617326,0.972564308189044,0.9655878539891434,0.9689015378684588,0.9672418578411646,0.5879648075453459,0.7114510171715203,0.6438403356836753,0.9902215979196326,0.9819954286091892,0.9860913574796736,0.882026264113893,0.7333555107955633,0.6914863930309023,0.5182041793161521,476363264,65.43173084501177,0.0014,0.1288496996480811,0.2153023668400268,0.2365008830967969,0.1360250530363474,0.2106879618458657,0.241369033876496
G0,7,0.2341021415777504,0.253378721486984,0.7967400569265832,0.9375875359699816,0.4785996618577885,0.9740329729519795,0.9634992461076954,0.97211625655988,0.967788570647068,0.6451482037514115,0.6496047831901464,0.6473688236293135,0.9899553726961744,0.9837554973451492,0.986845697410419,0.8142801295655088,0.6599498659097403,0.6655526488654305,0.4366940080012516,476362752,64.92600395716727,0.0014,0.1274846473584305,0.2132349886955565,0.2341021415777504,0.1452409182985623,0.216275605543827,0.253378721486984
G0,8,0.2211573901923437,0.2471420797079594,0.781921639551587,0.9254227206241836,0.4505310657931108,0.9698111322374666,0.9606981232478252,0.9618366744836898,0.9612670617329996,0.511920579896992,0.789780395977309,0.6211946457648223,0.9929937029954086,0.9764930073122704,0.9846742323319888,0.8860849573023867,0.8210439067898537,0.7678157205340965,0.615119222603299,478459904,63.85446345247328,0.0014,0.1175363528441862,0.2072420745076419,0.2211573901923437,0.1357319009386831,0.2228203588113602,0.2471420797079594
G0,9,0.2174295821965768,0.2314738249509698,0.7881061703161766,0.931607747318554,0.4538928701750773,0.9788178934548984,0.9730402724825338,0.9562913181955586,0.9645930946506154,0.5107300085867328,0.8030958574555352,0.6243828269416022,0.9912958514699574,0.9873033559417258,0.9892955755983596,0.897462909314371,0.8265990135828082,0.8095977080100275,0.634847117007497,478459904,63.89053629152477,0.0014,0.1148544646831678,0.2051502352134838,0.2174295821965768,0.1187808821236507,0.2253858864798935,0.2314738249509698
G0,10,0.2106066227163958,0.2405294713667697,0.7963316556637938,0.9347254799984088,0.4810463558730148,0.9732231311199578,0.961514205288336,0.9710561301481478,0.966261611439756,0.5832101037991512,0.7330551720769288,0.6496033752967281,0.9936924291624324,0.97927272522416,0.986429882937342,0.785878623651516,0.7462158817369545,0.7496149821892524,0.588790120105856,478458880,64.01390371099114,0.0014,0.1098335414615074,0.2015461625178055,0.2106066227163958,0.1358982097900783,0.2092625216968978,0.2405294713667697
