run,epoch,train_loss,val_loss,miou,road_iou,lane_iou,other_iou,road_precision,road_recall,road_f1,lane_precision,lane_recall,lane_f1,other_precision,other_recall,other_f1,lane_recall_0to10m,lane_recall_10to20m,lane_recall_20to30m,lane_recall_30plus,peak_gpu_memory_bytes_val,val_wall_clock_seconds,lr,train_ce_loss,train_lovasz_loss,train_total_loss,val_ce_loss,val_lovasz_loss,val_total_loss
F0,1,0.3199822226780113,0.3981765234739416,0.66812991807013,0.8440344905237706,0.26789824801793,0.8924570156686892,0.851623383069082,0.9895525692081047,0.9154215876776092,0.5409136351580193,0.346736244621441,0.4225863525511261,0.9965526401731356,0.8952207980472238,0.9431728258867158,0.5314435892622489,0.331558753878068,0.3334605977450337,0.3162266633769224,476362752,65.04737586993724,0.0014,,,,,,
F0,2,0.2030076940937353,0.1905515786363846,0.7171718357042381,0.8803671548335451,0.3284453568338059,0.9427029954453632,0.9222410682391724,0.9509549475059588,0.9363779329696678,0.3843413696967946,0.6931002055324437,0.4944807931228981,0.992689557223998,0.949293300710626,0.97050655468748,0.8385800401875418,0.7126681739001519,0.6641758956897653,0.5425568797399783,476363264,64.25694666896015,0.0014,,,,,,
F0,3,0.1758996911471356,0.2129731234783927,0.7297949606758724,0.8885279824594048,0.3592656201023926,0.9415912794658198,0.9126831004317908,0.9710751649158016,0.9409741245160548,0.4855621675172488,0.5800506601369037,0.5286172397641152,0.9951327354548332,0.9459477372420948,0.9699170875189296,0.604966941697175,0.5851580867741487,0.6433399140634073,0.4247669216940508,478457344,63.40791546553373,0.0014,,,,,,
F0,4,0.159101338151457,0.1533189090356851,0.7483282657369106,0.9013211261782867,0.3830814587831093,0.9605822122493356,0.9499379422198496,0.946268834078072,0.9480998383371142,0.4280487438599173,0.7847887084218773,0.5539535742459591,0.990772801220372,0.9692531800937944,0.9798948559747254,0.8577833053739804,0.8064971204672627,0.792103180146203,0.6085872695233593,480551936,63.7812141533941,0.0014,,,,,,
F0,5,0.1405656986629012,0.1626674755036624,0.7847916933617806,0.9334798918471244,0.4485400887478435,0.9723550994903736,0.9589435697207368,0.9723406756610464,0.965595655567265,0.6056850712689384,0.6335400813092881,0.61929951712358,0.9914363439130734,0.9805909252265832,0.9859838116793628,0.8127728138274498,0.6202591110271869,0.6612843052673304,0.5132807814240425,480551936,64.65001838374883,0.0014,,,,,,
F0,6,0.130791477629401,0.1363825174229633,0.7741326621092388,0.9257005785354424,0.4268057683043273,0.9698916394879468,0.966020596110358,0.9568569535165984,0.9614169397398922,0.4853870620096419,0.779560147741463,0.5982675116481486,0.989817332397719,0.9796664412831756,0.9847157275514508,0.9209315169366716,0.7993137138742812,0.7777508159328327,0.5847053870188579,482640384,64.59672707412392,0.0014,,,,,,
F0,7,0.1275318718848525,0.1367596372599817,0.7797317669459306,0.928199689687046,0.4380876404083052,0.9729079707424404,0.96439525395817,0.9611363255441762,0.9627630319115924,0.5142923142214033,0.7472563783674085,0.6092641756992255,0.99141501482273,0.9811740942938978,0.986267971106952,0.8878029710711494,0.7667105954344801,0.7565256473787929,0.5224280893100597,476362752,64.54485858976841,0.0014,,,,,,
F0,8,0.1204407662634962,0.1310584442069133,0.7586497690918623,0.9161414695557772,0.3863388568796819,0.9734689808401276,0.9683159814173896,0.944453181819937,0.956235731141676,0.4184599330626996,0.8342466587511798,0.5573512636719115,0.9922795219535148,0.9808984249212254,0.9865561509111848,0.9051346617035252,0.8787439243579752,0.8035221751624332,0.6340641842234199,476363264,65.05282965209335,0.0014,,,,,,
F0,9,0.1158285411054686,0.1330033431424656,0.7517711117881146,0.9046475312902156,0.37947738305964,0.9711884210144884,0.9738802153888808,0.9271427413595958,0.9499369478376968,0.4022647977894503,0.870111151891511,0.5501755776785124,0.9852416016112971,0.9855257402598846,0.9853836504525104,0.9221900330670412,0.8838464398950953,0.8669452071147189,0.7852965419790399,478459904,64.8159443885088,0.0014,,,,,,
F0,10,0.1128641861800008,0.1217650101597731,0.7959490033078233,0.9386202212596404,0.4712523563967735,0.9779744322670556,0.9705841500067576,0.966103058805838,0.968338420250008,0.55214460225634,0.7628431062540009,0.6406139019561702,0.9927004556603308,0.985058242854163,0.9888645842061266,0.8262692366685414,0.7613795542016293,0.7871997742796346,0.6671642803827101,480539648,64.17816354427487,0.0014,,,,,,
