run,label,epoch,train_loss,val_loss,train_ce,val_ce,train_lovasz,val_lovasz,miou,road_iou,marking_iou,other_iou,marking_precision,marking_recall,marking_f1,lr
D0,best,18,0.1320247862102656,0.1842126468558692,0.1320247862102656,0.1842126468558692,0.0,0.0,0.7808293932909053,0.9302216804214942,0.4402936634062269,0.9719728360449944,0.5147877273726487,0.7526361971421429,0.6113942935289365,0.0014
D0,final,25,0.1160282363629386,0.1674374968977645,0.1160282363629386,0.1674374968977645,0.0,0.0,0.7717927167775783,0.9269793166021713,0.4103373566875092,0.9780614770430548,0.4512005561224185,0.8191954975597338,0.5818995784828075,0.0007
F0,best,13,0.1044681614533805,0.1182282214182325,0.1044681614533805,0.1182282214182325,0.0,0.0,0.7986818335955664,0.9365218150542968,0.482769554261302,0.9767541314711002,0.5492490994544084,0.7995432172280974,0.6511727366857246,0.0014
F0,final,25,0.0821840798251475,0.1067246577081581,0.0821840798251475,0.1067246577081581,0.0,0.0,0.7878732564819798,0.9332647884025338,0.4499823523598424,0.9803726286835628,0.4845237642802307,0.8632394602705148,0.620672867676627,0.0007
G0,best,18,0.1855223111262352,0.2091555114473319,0.092615447720866,0.1128719002681059,0.1858137266612049,0.1925672224127791,0.8174073701842198,0.9480722526190024,0.523048107081327,0.98110175085233,0.6299487751362556,0.7550364501762566,0.6868438424885519,0.0014
G0,final,25,0.1754532034653399,0.2215822651413166,0.0865841119120636,0.118532888780141,0.1777381831898498,0.2060987536821307,0.7959742759555758,0.9336453598748288,0.4785933731954676,0.9756840947964308,0.5509099758911528,0.7847582213410902,0.6473630707016544,0.0014
G1,best,27,0.1667729115468883,0.2102999186945251,0.0806766535578986,0.116948023226319,0.172192515946467,0.1867037913580942,0.8232388764440427,0.9468479392566423,0.5426594966220241,0.9802091934534616,0.635132739661364,0.7884556423696963,0.7035376216336666,0.0007
G1,final,35,0.1602616889044995,0.2056281423817078,0.0764846467297596,0.1119592946837656,0.167554084479042,0.1873376941114353,0.8201178887236164,0.9464402666384196,0.5329562427159997,0.9809571568164298,0.6199921290830381,0.7915131144287606,0.695331318487917,0.0007
G2,best,68,0.1465325933879097,0.2074216640735459,0.067677044243339,0.1160087424498568,0.1577110984798215,0.1828258424635148,0.827824829372536,0.9501271016626543,0.5504437571438177,0.9829036293111356,0.6356172360248448,0.8042191605884231,0.710046726438925,4.375e-05
G2,final,100,0.1449015876637563,0.2037799292140537,0.0669903813356509,0.1145043616234842,0.1558224129629048,0.1785511340777803,0.826876286528266,0.9512720155373952,0.5465588721620231,0.9827979718853797,0.6302132673125452,0.804592853077486,0.7068064229562204,2.734375e-06
