seed,hybrid_cost,pwa_cost,improvement_pct,elapsed_seconds,peak_memory_mb,peak_cpu_pct,n_ants,n_iters,error
42,501.7723647551638,568.6641887094751,11.762974578391407,423.379,16183.06,622.9,20,80,
43,496.33145565566474,568.6641887094751,12.719762293799796,429.588,16216.01,575.0,20,80,
44,504.57360877392733,568.6641887094751,11.270373835390394,428.373,16191.44,621.0,20,80,
45,504.86606482264295,568.6641887094751,11.218945232267114,422.661,16239.34,585.0,20,80,
46,506.70080234093064,568.6641887094751,10.896305341323492,422.6,16231.52,551.0,20,80,
47,499.14864161528857,568.6641887094751,12.224358149217183,425.43,16239.51,612.9,20,80,
48,502.67987572059127,568.6641887094751,11.603388132920488,423.816,16238.3,589.7,20,80,
49,497.9733358823454,568.6641887094751,12.431036494060809,423.978,16230.98,606.9,20,80,
50,501.71534705517075,568.6641887094751,11.77300118128378,426.649,16197.57,624.9,20,80,
51,500.18817340475067,568.6641887094751,12.04155574841519,425.371,16192.21,479.2,20,80,
52,500.36511952472466,568.6641887094751,12.010439648001773,424.184,16296.7,559.0,20,80,
53,499.1419344825162,568.6641887094751,12.22553760326151,428.671,16247.2,623.0,20,80,
54,499.627766855992,568.6641887094751,12.140103636586323,425.165,16211.84,629.7,20,80,
55,500.84820975073416,568.6641887094751,11.925487889899012,425.02,16205.77,621.0,20,80,
56,496.2918012104713,568.6641887094751,12.726735556048546,425.428,16252.69,594.9,20,80,
57,505.45216596179375,568.6641887094751,11.115878932192743,429.979,16209.95,595.0,20,80,
58,499.4264526414614,568.6641887094751,12.175504883671605,428.138,16255.72,626.9,20,80,
59,498.47228495079145,568.6641887094751,12.343295947293065,424.766,16237.99,513.1,20,80,
60,497.8984156086724,568.6641887094751,12.444211277203568,428.162,16249.46,547.1,20,80,
61,499.38038306260285,568.6641887094751,12.183606251715041,429.36,16240.85,487.0,20,80,
62,497.26727704235645,568.6641887094751,12.555197440715682,422.965,16244.38,642.8,20,80,
63,493.31625860362396,568.6641887094751,13.249986829106557,429.797,16251.16,584.9,20,80,
64,496.68834483812566,568.6641887094751,12.657003078511272,427.799,16235.31,618.8,20,80,
65,502.39789893847933,568.6641887094751,11.652973949595854,427.891,16244.62,640.8,20,80,
66,494.3301797103914,568.6641887094751,13.07168808497983,425.878,16228.8,636.8,20,80,
67,502.67344934999176,568.6641887094751,11.604518214738038,426.141,16200.8,642.8,20,80,
68,503.86061415555037,568.6641887094751,11.39575444358291,429.524,16220.88,622.9,20,80,
69,502.87219762543236,568.6641887094751,11.56956818985751,426.199,16196.98,622.8,20,80,
70,498.04972561532975,568.6641887094751,12.417603305458286,426.69,16192.84,622.9,20,80,
71,503.45510451840636,568.6641887094751,11.467063600233738,428.898,16261.28,505.0,20,80,
